Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Duodenal_ulcer	Lachnospiraceae_noname	Duodenal_ulcer1	-0.162513626749172	80	75	0.0325069936033865	0.265473781094323
Duodenal_ulcer	Oscillibacter	Duodenal_ulcer1	-0.152150074083992	80	70	0.034591603212721	0.267629772224736
Duodenal_ulcer	Subdoligranulum	Duodenal_ulcer1	-0.112289261537193	80	80	0.0431205474193035	0.294543578444339
Duodenal_ulcer	Roseburia	Duodenal_ulcer1	-0.119533423861999	80	80	0.0678546980971746	0.377654367476733
Duodenal_ulcer	Peptostreptococcaceae_noname	Duodenal_ulcer1	0.0983728812179982	80	54	0.07436942645352	0.377654367476733
Duodenal_ulcer	Phascolarctobacterium	Duodenal_ulcer1	-0.127443717353557	80	20	0.106975594512452	0.47364731857549
Duodenal_ulcer	Barnesiella	Duodenal_ulcer1	-0.130413095081614	80	50	0.117793728918199	0.47364731857549
Duodenal_ulcer	Enterococcus	Duodenal_ulcer1	0.0506785889213344	80	36	0.119217352294511	0.47364731857549
Duodenal_ulcer	Bacteroides	Duodenal_ulcer1	-0.017746574882265	80	80	0.141492661371471	0.512893344478695
Duodenal_ulcer	Faecalibacterium	Duodenal_ulcer1	-0.0655148738187967	80	78	0.147989325430943	0.512893344478695
Duodenal_ulcer	Odoribacter	Duodenal_ulcer1	-0.128783435716169	80	57	0.178739576735791	0.54150359128521
Duodenal_ulcer	Alistipes	Duodenal_ulcer1	-0.085534026184087	80	71	0.199965994173805	0.576372571442143
Duodenal_ulcer	Mitsuokella	Duodenal_ulcer1	-0.0235100608402539	80	7	0.224732456461804	0.635301367305485
Duodenal_ulcer	Megasphaera	Duodenal_ulcer1	-0.0324498775943733	80	11	0.23624088015728	0.651428056776373
Duodenal_ulcer	Blautia	Duodenal_ulcer1	-0.0456923263030027	80	80	0.23930010248928	0.651428056776373
Duodenal_ulcer	Flavonifractor	Duodenal_ulcer1	-0.0342615364392479	80	30	0.245839383263994	0.657061624360129
Duodenal_ulcer	Veillonella	Duodenal_ulcer1	-0.05407309565518	80	59	0.303922122830263	0.744609200934143
Duodenal_ulcer	Erysipelotrichaceae_noname	Duodenal_ulcer1	-0.0771867464559922	80	68	0.332640442605358	0.747417363216854
Duodenal_ulcer	Klebsiella	Duodenal_ulcer1	-0.0673936294493952	80	23	0.335575142668792	0.747417363216854
Duodenal_ulcer	Dorea	Duodenal_ulcer1	-0.0553507104607691	80	75	0.411213650044696	0.876063863138701
Duodenal_ulcer	C2likevirus	Duodenal_ulcer1	-0.0303761350445389	80	47	0.417339237191695	0.876412398102559
Duodenal_ulcer	Coprobacillus	Duodenal_ulcer1	0.0116352240901274	80	29	0.506049441482589	1
Duodenal_ulcer	Pediococcus	Duodenal_ulcer1	0.00678920984882705	80	2	0.5776743121658	1
Duodenal_ulcer	Lactobacillus	Duodenal_ulcer1	-0.0143014253349208	80	43	0.729037628762937	1
Duodenal_ulcer	Streptococcus	Duodenal_ulcer1	-0.0158891926401507	80	76	0.833460910481519	1
Duodenal_ulcer	Anaerostipes	Duodenal_ulcer1	-0.00546116598020837	80	55	0.878555242966403	1
Duodenal_ulcer	Clostridium	Duodenal_ulcer1	0.00993078429492931	80	68	0.899196382234459	1
Duodenal_ulcer	Prevotella	Duodenal_ulcer1	-0.00322817465699028	80	72	0.927551582437941	1
Duodenal_ulcer	Clostridiales_noname	Duodenal_ulcer1	-0.00183900004137386	80	21	0.927780808614843	1
