"name" "rpkm" "sample"
"7" "MH0204_GL0130854" 56383.4071687475 "168HP"
"14" "MH0014_GL0105798" 42087.5420875421 "168HP"
"20" "MH0097_GL0015007" 49566.2949194548 "168HP"
"21" "MH0204_GL0063669" 32653.0612244898 "168HP"
"54" "MH0014_GL0051197" 33670.0336700337 "168HP"
"75" "MH0257_GL0115220" 43177.8929188256 "168HP"
"144" "MH0095_GL0000567" 42674.253200569 "168HP"
"182" "MH0014_GL0094960" 48270.3137570394 "168HP"
"452" "358708.Sd1012_3376" 89086.859688196 "168HP"
"652" "MH0093_GL0019530" 87336.2445414847 "168HP"
"955" "T2D-77A_GL0031944" 113207.547169811 "168HP"
"995" "MH0097_GL0015011" 114285.714285714 "168HP"
"1" "T2D-114A_GL0049957" 6127.87652737322 "167HP"
"5" "754092.SFJ1713_0545" 4358.26697871858 "167HP"
"14142" "MH0014_GL0105798" 12378.6888492771 "167HP"
"2050" "MH0097_GL0015007" 14357.4383679348 "167HP"
"37" "MH0014_GL0046007" 4443.36816193411 "167HP"
"40" "932676.SGB_03571" 10201.0051390397 "167HP"
"54102" "MH0014_GL0051197" 13504.0241992114 "167HP"
"75103" "MH0257_GL0115220" 13853.8693857194 "167HP"
"94" "550687.ERDG_03360" 10408.94128056 "167HP"
"110" "469595.CSAG_04227" 9892.48284360833 "167HP"
"114" "656437.ECMG_04072" 7329.4868186509 "167HP"
"120" "199310.c0067" 4397.69209119054 "167HP"
"129" "MH0014_GL0037010" 10800.1024466861 "167HP"
"138" "MH0095_GL0001155" 7211.85918123763 "167HP"
"140" "467705.SGO_0368" 13504.0241992114 "167HP"
"14443" "MH0095_GL0000567" 17115.3421927416 "167HP"
"180" "331111.EcE24377A_0125" 10949.2088101714 "167HP"
"18261" "MH0014_GL0094960" 10755.4175037967 "167HP"
"194" "199310.c3239" 6938.91900893733 "167HP"
"195" "MH0238_GL0094567" 9275.96458436722 "167HP"
"206" "MH0014_GL0108310" 9949.01131700037 "167HP"
"208" "364106.UTI89_C3469" 6740.66418011055 "167HP"
"210" "MH0014_GL0094942" 12153.6217792902 "167HP"
"212" "MH0264_GL0103849" 9423.07239275366 "167HP"
"234" "MH0097_GL0015012" 11883.541295306 "167HP"
"270" "MH0093_GL0019534" 15500.271254747 "167HP"
"282" "MH0097_GL0015010" 7517.7041933754 "167HP"
"288" "MH0014_GL0005367" 15106.1965618297 "167HP"
"289" "MH0014_GL0025917" 8160.11228314502 "167HP"
"338" "MH0093_GL0040527" 13476.798343971 "167HP"
"361" "V1.FI37_GL0074003" 9327.19810968785 "167HP"
"375" "MH0234_GL0071485" 9515.29107275391 "167HP"
"381" "MH0014_GL0016708" 9043.28114355305 "167HP"
"389" "MH0315_GL0115587" 18632.7302539641 "167HP"
"401" "199310.c0581" 8193.45288491476 "167HP"
"415" "SZEY-62A_GL0081122" 14043.0503752303 "167HP"
"445" "754092.SFJ1713_3761" 11625.2034410602 "167HP"
"45246" "358708.Sd1012_3376" 11910.0079797053 "167HP"
"471" "V1.CD48-0_GL0101225" 19540.5368436822 "167HP"
"477" "199310.c1853" 13572.5725454003 "167HP"
"489" "766145.SFVA6_3638" 9699.38376581808 "167HP"
"527" "550676.ECDG_02502" 9989.27817475909 "167HP"
"546" "MH0287_GL0070080" 10795.9493598002 "167HP"
"551" "N022A_GL0045729" 21136.7335292004 "167HP"
"569" "V1.CD10-0_GL0019100" 14590.9783980565 "167HP"
"593" "NLM003_GL0012305" 14375.2515669024 "167HP"
"604" "MH0014_GL0094959" 23250.4068821204 "167HP"
"616" "MH0093_GL0019532" 20823.9625501857 "167HP"
"65230" "MH0093_GL0019530" 19459.9475359814 "167HP"
"655" "SZEY-95A_GL0021576" 15821.2827896086 "167HP"
"688" "DLF009_GL0029590" 12135.2350595031 "167HP"
"716" "MH0014_GL0026704" 13688.3794783815 "167HP"
"734" "316401.ETEC_0232" 12772.9146088082 "167HP"
"749" "ED13A_GL0077814" 13436.1647811249 "167HP"
"758" "T2D-135A_GL0033046" 13618.6593791707 "167HP"
"776" "T2D-102A_GL0004460" 17139.723022076 "167HP"
"780" "550677.ECEG_02458" 21667.7211624299 "167HP"
"795" "932676.SGB_03063" 14505.2267166936 "167HP"
"811" "MH0427_GL0008174" 21667.7211624299 "167HP"
"817" "529507.PMI2896" 28958.0879939767 "167HP"
"849" "MH0097_GL0000962" 36132.3890735655 "167HP"
"900" "MH0079_GL0019080" 15605.8178488941 "167HP"
"929" "1033813.ECNA114_3954" 34154.3385768375 "167HP"
"942" "MH0014_GL0004838" 19624.1966344503 "167HP"
"95546" "T2D-77A_GL0031944" 25224.4980324892 "167HP"
"99520" "MH0097_GL0015011" 30557.6776165011 "167HP"
"1028" "NOF006_GL0000294" 27228.0732326258 "167HP"
"1057" "766139.SB359474_4449" 28444.6467174878 "167HP"
"1097" "MH0014_GL0094917" 18439.9778720266 "167HP"
"1286" "656404.ERGG_01211" 22531.9954335156 "167HP"
"1329" "MH0014_GL0078399" 29791.6077041098 "167HP"
"1374" "NLM015_GL0010489" 40268.0239675279 "167HP"
"1451" "N043A_GL0090156" 42987.0866791616 "167HP"
"1569" "718254.ENC_35320" 27659.9668080398 "167HP"
"1724" "MH0014_GL0004837" 53209.8863968925 "167HP"
"1246" "T2D-114A_GL0049957" 12296.3257532154 "164HP"
"2" "656449.ERFG_00964" 330.310333164214 "164HP"
"3" "1033813.ECNA114_2452" 2288.82709055744 "164HP"
"5150" "754092.SFJ1713_0545" 4605.28519275212 "164HP"
"14140" "MH0014_GL0105798" 7422.97403256307 "164HP"
"19" "766145.SFVA6_2837" 1977.12187544132 "164HP"
"3791" "MH0014_GL0046007" 4126.09341475491 "164HP"
"40105" "932676.SGB_03571" 10089.6014680007 "164HP"
"41" "MH0014_GL0062780" 855.807796979569 "164HP"
"54101" "MH0014_GL0051197" 5765.41672432083 "164HP"
"75102" "MH0257_GL0115220" 9093.97402228689 "164HP"
"76" "766142.SD15574_2190" 2231.28170579327 "164HP"
"79" "MH0014_GL0062781" 1232.93473278678 "164HP"
"87" "550694.ERIG_01040" 867.36788541492 "164HP"
"94107" "550687.ERDG_03360" 10582.2751058228 "164HP"
"108" "766147.SFK227_2604" 1941.81612766558 "164HP"
"11044" "469595.CSAG_04227" 633.525442381766 "164HP"
"11452" "656437.ECMG_04072" 6195.92645998558 "164HP"
"119" "439855.EcSMS35_0058" 1793.50863149628 "164HP"
"12059" "199310.c0067" 3004.08555635665 "164HP"
"12980" "MH0014_GL0037010" 13141.3575318752 "164HP"
"130" "529885.EfmE980_1445" 518.887505188875 "164HP"
"132" "MH0014_GL0094967" 491.201596994632 "164HP"
"133" "535205.EfmE1071_1379" 3816.95576572374 "164HP"
"134" "MH0277_GL0048659" 2885.94736032015 "164HP"
"13852" "MH0095_GL0001155" 3002.05987492957 "164HP"
"143" "199310.c2421" 2165.98157471674 "164HP"
"147" "MH0014_GL0063410" 6624.33756624338 "164HP"
"153" "MH0277_GL0038206" 645.674497406971 "164HP"
"157" "MH0415_GL0087581" 524.851729386448 "164HP"
"165" "MH0014_GL0078392" 2547.26593456357 "164HP"
"18046" "331111.EcE24377A_0125" 5048.63518562149 "164HP"
"18260" "MH0014_GL0094960" 7576.67596072251 "164HP"
"183" "469595.CSAG_00237" 426.30591712613 "164HP"
"187" "340186.EcE110019_0796" 15790.9281117998 "164HP"
"189" "585054.EFER_0144" 996.367528666917 "164HP"
"190" "656449.ERFG_03351" 2417.73995357939 "164HP"
"19446" "199310.c3239" 6073.13836090439 "164HP"
"19545" "MH0238_GL0094567" 6385.96157730281 "164HP"
"204" "550694.ERIG_04036" 1033.30184222957 "164HP"
"205" "656420.ERJG_00824" 1007.25221595488 "164HP"
"20654" "MH0014_GL0108310" 14017.2029308697 "164HP"
"20853" "364106.UTI89_C3469" 8345.80407505468 "164HP"
"21050" "MH0014_GL0094942" 7471.9800747198 "164HP"
"21244" "MH0264_GL0103849" 5732.9068855229 "164HP"
"237" "1033813.ECNA114_3664" 2102.85988944965 "164HP"
"238" "585054.EFER_2976" 448.253603958976 "164HP"
"242" "199310.c1922" 2459.35909102088 "164HP"
"250" "585054.EFER_2541" 1693.85039913275 "164HP"
"257" "754093.SD1617_2158" 7946.20264998068 "164HP"
"260" "MH0097_GL0011159" 2070.72316024212 "164HP"
"269" "550677.ECEG_01404" 1598.81304119821 "164HP"
"27033" "MH0093_GL0019534" 496.327178876315 "164HP"
"275" "MH0252_GL0013874" 12991.1597505697 "164HP"
"278" "405955.APECO1_1164" 4795.13927559367 "164HP"
"280" "MH0315_GL0183737" 2522.76798102878 "164HP"
"281" "585054.EFER_2538" 5937.78485319228 "164HP"
"284" "MH0303_GL0048181" 3827.36264760307 "164HP"
"285" "MH0415_GL0123803" 2322.92662206648 "164HP"
"28858" "MH0014_GL0005367" 11609.0085906664 "164HP"
"28942" "MH0014_GL0025917" 7316.15546481974 "164HP"
"319" "MH0025_GL0006074" 2380.77796498425 "164HP"
"325" "V1.FI22_GL0144091" 552.364118426867 "164HP"
"329" "MH0014_GL0062859" 1958.81269832979 "164HP"
"331" "300267.SDY_3560" 5866.65102226394 "164HP"
"33829" "MH0093_GL0040527" 863.06893504198 "164HP"
"356" "1072459.CE10_4035" 2597.24840083706 "164HP"
"366" "199310.c0927" 6644.2912249795 "164HP"
"371" "550677.ECEG_00358" 7119.0911543419 "164HP"
"373" "316401.ETEC_2217" 1183.24791410296 "164HP"
"374" "585054.EFER_2161" 1019.24331376386 "164HP"
"38137" "MH0014_GL0016708" 3860.94423252151 "164HP"
"382" "MH0308_GL0126648" 963.064548438295 "164HP"
"38931" "MH0315_GL0115587" 3182.02790638474 "164HP"
"399" "585054.EFER_3090" 1757.23590696803 "164HP"
"40157" "199310.c0581" 9095.1068325241 "164HP"
"404" "MH0014_GL0046008" 2129.32074668181 "164HP"
"407" "656420.ERJG_02607" 1461.96693030804 "164HP"
"41552" "SZEY-62A_GL0081122" 9532.92275814436 "164HP"
"419" "585054.EFER_2272" 822.246706901939 "164HP"
"422" "MH0277_GL0004317" 2552.25154991276 "164HP"
"423" "199310.c3238" 9260.73882537515 "164HP"
"425" "MH0450_GL0230180" 595.247543611803 "164HP"
"437" "656380.ECGG_01176" 5747.39979705733 "164HP"
"44545" "754092.SFJ1713_3761" 5955.92614651578 "164HP"
"446" "656420.ERJG_00825" 2002.72370423776 "164HP"
"447" "O2.CD1-0-PT_GL0050406" 3691.2476417029 "164HP"
"451" "ED50A_GL0028344" 9570.73186970489 "164HP"
"45245" "358708.Sd1012_3376" 4004.33230619032 "164HP"
"47148" "V1.CD48-0_GL0101225" 9176.91422087998 "164HP"
"474" "MH0179_GL0041611" 1825.94299811725 "164HP"
"47746" "199310.c1853" 8692.02419859537 "164HP"
"484" "1033813.ECNA114_3877" 8001.53629496863 "164HP"
"48936" "766145.SFVA6_3638" 5383.37943714697 "164HP"
"499" "MH0014_GL0111038" 5061.07024765504 "164HP"
"503" "1072459.CE10_2144" 7054.53799189369 "164HP"
"510" "MH0415_GL0047080" 1668.52985834182 "164HP"
"515" "MH0415_GL0067919" 631.855633624829 "164HP"
"522" "1045856.EcWSU1_03562" 2322.51743999459 "164HP"
"523" "550694.ERIG_03922" 3598.21867009838 "164HP"
"52730" "550676.ECDG_02502" 1279.44864293147 "164HP"
"532" "MH0415_GL0180261" 1087.88358775304 "164HP"
"539" "766147.SFK227_2603" 627.226654623915 "164HP"
"543" "300267.SDY_4023" 5153.3834304668 "164HP"
"545" "MH0008_GL0011402" 654.393159410174 "164HP"
