Acidaminococcaceae	Acidobacteriaceae	Actinomycetaceae	Actinomycetales_noname	Aerococcaceae	Bacillaceae	Bacillales_noname	Bacteroidaceae	Bacteroidales_noname	Bifidobacteriaceae	Brevibacteriaceae	Burkholderiaceae	Burkholderiales_noname	Candidatus_Saccharibacteria_noname	Carnobacteriaceae	Clostridiaceae	Clostridiales_Family_XI_Incertae_Sedis	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_noname	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Debaryomycetaceae	Deinococcaceae	Dermatophilaceae	Desulfovibrionaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Gallionellaceae	Geminiviridae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Methanobacteriaceae	Micrococcaceae	Neisseriaceae	Oscillospiraceae	Pasteurellaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharomycetaceae	Siphoviridae	Sphingobacteriaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Veillonellaceae	Verrucomicrobiaceae
alien-11-0-0	0	0	0.00961	0	0	0	0.00307	16.0753	0	0	0	0	1.07505	0	0.03013	0.03058	0	0	0.00894	0.00487	2.07633	0.00112	0.05967	0	0.02402	0	3.08437	0	0.04611	26.49716	0	0	0	14.60242	0.08649	0	0	0.00818	0	0.10386	0.12327	0.12453	5.37103	0	0.28404	0	4.24716	23.6735	0.34506	0.10252	0	1.00903	0.46731	0	0.42527	0
alien-11-60-0	0	0	0.0258	0	0	0	0.0048	6.73458	0	5.10963	0	0	0.36916	0.00098	0.03228	0.00326	0	0.00452	0.00532	0.00498	1.93452	0.00358	0	0	0	0	0.36069	0	0.04184	29.21124	0	0	0	19.87657	0.36056	0.00025	0	0.03794	0	0.06047	0.01022	0.28407	2.45168	0	0.04715	0	0.90535	31.6156	0.00896	0.10865	0	0.17182	0.19057	0	0.02252	0.00046
alien-11-7-0	0	0	8e-04	0	0	0	0	20.87949	0	0	0	0	1.10803	0	0	0.15557	0	0	0.01917	0.0025	1.41456	0	0	0	0.00762	0	0.20306	0	0.08179	11.77699	0	0	0	14.62673	0.15	0	0	0.02326	0	0.14708	0.01065	0.09297	5.06941	0	0.03878	0	7.15793	35.49091	0	0.93141	0	0.06538	0.51018	0	0.03574	0
bugkiller-11-0-0	0	0	0.02531	0	0	0	0.00074	30.09167	0.44298	5.0793	0	0	0	0	0.03085	0.36736	0	0.00184	0.03768	0	9.03354	0	0	0	0	0.82063	0.60928	0	0.08113	5.93544	0	0	0	8.83261	0	0	0	0	0	0.25934	0.01247	0	2.32058	7.29002	0.06061	0.47699	0.28059	22.02625	0	0	0	0.44476	5.15244	0	0.28559	0
bugkiller-11-60-0	0	0	0.03578	0	0	0.04949	0.00034	26.86887	0.14403	12.70108	0	0	0	0	0.00874	0.07359	0	0.00753	0	0.00207	8.59028	0	0	0	0	0.00255	0.65792	0	0.00064	5.20662	0	0	0	7.21445	0	0	0	0	0	0.01808	0	0	0.88222	10.89526	0	0	0.03015	20.26941	0	0	0	0.41998	5.76973	0	0.15119	0
bugkiller-11-7-0	0	0	0.00358	0	0	0	0	31.3303	0.11144	7.03948	0	0	0	0	0.00565	0.1561	0	0	0.00751	0	4.55232	0	2e-04	0	0	0.05518	0.02472	0	0.00792	17.34451	0.00615	0	0	7.86363	0.08273	0.00056	0	0	0	0.07113	0.00648	0.01613	1.29493	8.46406	0	0	0.03361	16.85345	0	0	0	0.33323	4.23866	0	0.06952	0.02684
daisy-11-0-0	3.8687	0	0.00089	0	0	0	0	39.8158	0	6.41486	0	0	0.06315	0	0.00555	0.46758	0	0.00085	0.08988	0	1.6772	0	0	0	0	0.79942	0.00193	0	0.12026	16.0554	0	0	0	5.41457	0	0	0	3e-04	0	0.48026	0	0.00399	3.01924	0.01175	0	0	0.31337	20.39817	0	0	0	0.22759	0.0843	0	0.00886	0.65613
daisy-11-60-0	2.89492	0	0	0	0	0	0.00062	56.03744	0	4.36026	0	0	0.08021	0	0.00575	0.65736	0	0	0.07801	0	0.61513	0	0.00479	0.00223	0	0.61074	0	0	0.07324	5.7722	0	0	0	8.47644	0.00307	0	0	0.0031	0	0.48354	0.00129	0.02353	6.884	0.0051	0	0	0.10853	9.79848	0.01305	0	0	0.66032	0.12124	0	0.02095	2.20446
daisy-11-7-0	3.2668	0	0.00157	0	0	0	0.0103	68.33281	0	1.71179	0	0	0.06877	0	0.02221	1.44775	0	0.00432	0.07945	0	0.35516	0	0	0	0	0.54734	0	0	0.04962	5.77287	0.00493	0	0	6.31436	0	0	0	0.03101	0.00969	0.36619	0.0829	0.01426	4.22665	0.08727	0	0	0.08928	6.30408	0	0.00607	0	0.51325	0.1244	0	0.10861	0.0463
halbarad-11-0-0	0	0	0.00345	0.0212	0	0	0	16.91595	1.59457	6.51099	0	0	0.01162	0	0.0071	0.22657	0	0.00155	0.08004	0.0013	1.2066	0	0	0	0	0.39196	0.17495	0	0.08162	2.06793	0	0	0	5.83131	0	0	0.0474	0.00403	0	2.35658	0.00159	0.01535	3.65564	0.44431	0	0.01885	18.22596	31.35365	0	0	0.00445	0.7456	1.24875	0.06588	0.60381	6.07943
