Abiotrophia	Acidaminococcaceae_unclassified	Acidaminococcus	Actinobacillus	Actinomyces	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Alloscardovia	Anaerostipes	Anaerotruncus	Atopobium	Bacillus	Bacteroidales_noname	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brevibacterium	Burkholderia	Burkholderiales_noname	Butyricicoccus	Butyricimonas	Butyrivibrio	C2likevirus	Candidatus_Saccharibacteria_noname	Candidatus_Saccharibacteria_noname_unclassified	Cellulophaga	Citrobacter	Clostridiaceae_noname	Clostridiales_Family_XIII_Incertae_Sedis_noname	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Clostridiales_noname	Clostridium	Collinsella	Comamonas	Coprobacillus	Coprobacter	Coprococcus	Coriobacteriaceae_noname	Corynebacterium	Debaryomyces	Debaryomycetaceae_unclassified	Deinococcus	Dermatophilaceae_unclassified	Desulfovibrio	Dialister	Dorea	Eggerthella	Eggerthia	Enterobacter	Enterococcus	Eremothecium	Erysipelotrichaceae_noname	Escherichia	Eubacterium	Faecalibacterium	Flavonifractor	Gallionellaceae_unclassified	Gemella	Gordonibacter	Granulicatella	Granulicella	Haemophilus	Holdemania	Klebsiella	Lachnospiraceae_noname	Lactobacillus	Lactococcus	Leuconostoc	Mastrevirus	Megasphaera	Methanobrevibacter	Mitsuokella	Naumovozyma	Neisseria	Odoribacter	Olsenella	Oscillibacter	Pantoea	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Pedobacter	Peptostreptococcaceae_noname	Peptostreptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionibacteriaceae_unclassified	Propionibacterium	Pseudoflavonifractor	Pseudomonas	Pyramidobacter	Roseburia	Rothia	Ruminococcaceae_noname	Ruminococcus	Saccharomyces	Saccharomycetaceae_unclassified	Scardovia	Serratia	Solobacterium	Streptococcus	Subdoligranulum	Sutterella	Sutterellaceae_unclassified	Tropheryma	Turicibacter	Varibaculum	Variovorax	Veillonella	Weissella
alien-11-0-0	0	0	0	0	0.00961	0.39271	0	0	4.24716	0	0	0.03348	0.01267	0.0019	0	0	16.0753	1.21562	0	0	2.93017	0	0	1.07505	0	0	0	0.10252	0	0	0	0	0.00029	0	0	0.00073	0.03029	1.63237	0	0.00269	0.22033	4.88911	0	0.00112	0	0.05967	0	0.02402	0	0.10491	2.15495	0.03193	0	0	0	0.00959	0.0024	3.08437	26.49716	10.67933	0.00822	0	0.00307	0.01681	0.03013	0	0.12327	0.04102	0	0.37594	0.08649	0.0329	0	0	0	0	0	0.0223	0	0.35996	0.00061	0.10386	0	3.57511	0	0.46731	0	0	0.12453	0	0	0	0	0	0.28404	0	0	0	4.21877	0.00818	0.00099	5.21468	0.31317	0	0	0	0	0.97613	7.76583	0	0	0	0	0	0.00487	0.32036	0
alien-11-60-0	0	0	0	0	0.0258	0.31295	0	0.00046	0.90535	0	0	0.0415	0.00478	0.01405	0	0	6.73458	0.27312	5.10963	0	3.74381	0	0	0.36916	0	0	0	0.10865	0	0.00098	0	0	0	0.00053	0.00399	0	0.00326	1.5918	0	0	0.05277	2.62431	0	0.00358	0	0	0	0	0	0	1.87969	0.0109	0	0	0	0	0.00077	0.32281	29.21124	16.32629	0.00532	0	0.0048	0.00482	0.03228	0	0.01022	0.01858	0.03788	0.43047	0.36056	0.01177	0	0	0	0	0	0	0	0.21465	0	0.06047	0	1.91114	0	0.19057	0	0	0.28407	0	0	0	0	0	0.04715	0	0	0	11.15679	0.03794	0.00497	8.38344	0.00896	0	0	0	0.00131	0.16004	6.89613	0	0	0	0.02118	0	0.00498	0.02252	0.00025
alien-11-7-0	0	0	0	0	8e-04	0.65769	0	0	7.15793	0	0	0.01684	0.02143	0.00025	0	0	20.87949	1.14426	0	0	0.94888	0	0	1.10803	0	0	0	0.93141	0	0	0	0	0.01146	0	0	0.00208	0.14411	0.65756	0	0	0.30907	5.70482	0	0	0	0	0	0.00762	0	0.02937	0.66148	0.05738	0	0	0	0	0	0.20306	11.77699	20.20302	0.0162	0	0	0.04067	0	0	0.01065	0.08179	0	0.23539	0.15	0.01683	0	0	0	0	0.00237	0	0	0.9574	0.001	0.14708	0	2.65868	0	0.51018	0	0	0.09297	0	0	0	0	0	0.03878	9e-04	0	0	7.05933	0.02326	0.01109	5.64634	0	0	0	0	0	0.04855	9.60904	0	0	0	0	0	0.0025	0.00399	0
bugkiller-11-0-0	0	0	0	0	0.02531	0	0	0	0.28059	0	0	0.07782	0.00767	0.01378	0	0.44298	30.09167	0.00529	5.0793	0.82063	3.36113	0	0	0	0.1038	0	0.01242	0	0	0	0	0	0.02779	0	0.00184	0	0.23576	8.22993	0	0.00374	0	1.23998	0	0	0	0	0	0	0	0	3.35791	0.78983	0	0	0	0	0	0.60928	5.93544	19.26925	0.03768	0	0.00074	0	0.03085	0	0.01247	0.07739	0	0.7051	0	0	0	0	0	0	0	0	0	0.5733	0	0.25934	0	1.74199	0.02274	0	0	0	0	0	0	0	7.26728	0	0.06061	0	0.47699	0	0.07826	0	0.36232	0.6392	0	0	0	0	0	0.44476	1.74781	5.15244	0	0	0	0	0	0.28559	0
bugkiller-11-60-0	0	0	0	0	0.03578	0.00444	0	0	0.03015	0	0	0.04136	0	0.01683	0.04949	0.14403	26.86887	0	12.70108	0.00255	1.62906	0	0	0	0.07359	0	0.00736	0	0	0	0	0	0	3e-04	0.00723	0	0	8.2782	0	0	0	0.97558	0	0	0	0	0	0	0	0	3.25934	0.2908	0	0	0	0	0	0.15441	5.20662	18.31065	0	0	0.00034	0	0.00874	0	0	0	0	0.61666	0	0	0	0	0.00075	0	0	0	0	0.01705	0	0.01808	0.07727	0.86517	0	0	0	0	0	0	0	0	10.89526	0	0	0	0	0	0.68509	0	0	0.83181	0	0	0	0.42624	0.00064	0.41998	1.12696	5.76973	0	0	0	0	0.00207	0.15044	0
bugkiller-11-7-0	0	0	0	0	0.00358	0.0082	0	0.02684	0.03361	0	0	0.11306	0.02538	0	0	0.11144	31.3303	0.00479	7.03948	0.05518	2.04005	0	0	0	0.15075	0	0.02246	0	0	0	0.00615	0	0.00108	0	0	0	0.00427	4.10615	0	0.00203	0	0.75698	0	0	2e-04	0	0	0	0	0	2.89792	0.43797	0	0	0	0	0	0.02472	17.34451	14.59075	0.00751	0	0	0	0.00565	0	0.00648	0.00589	0	1.99203	0.08273	0	0	0	0	0	0	0	0	0.21759	0	0.07113	0	1.07255	0	0	0	0	0.01613	0	0	0	8.46406	0	0	0	0	0	0.04112	0	0.00859	0.96731	0	0	0	0	0	0.33323	1.26142	4.23866	0	0	0	0	0	0.06952	0.00056
daisy-11-0-0	0	0	1.32648	0	0.00089	0	0	0.65613	0.31337	0	0	0.07812	0.03203	0	0	0	39.8158	0	6.41486	0.79341	0.69501	0	0	0.06315	0	0.00051	0	0	0	0	0	0	0	0	0.00085	0.00136	0.46758	1.51141	0	0.00324	0	0.6971	0	0	0	0	0	0	0.00601	0	0.61563	0.16579	0	0	0	0	0.01704	0.00193	16.0554	16.88152	0.04625	0	0	0	0.00555	0	0	0.09963	0	0.14215	0	0.00094	0	0	0	0	0	0	0	0.4565	0	0.48026	0	2.55937	0	0.0843	0	0	0.00399	0	2.54223	0.00286	0.01175	0	0	0.04228	0	0	3.18656	3e-04	0.00039	1.95416	0	0	0	0	0.00035	0.22664	1.53007	0	0	0	0	0	0	0.00886	0
daisy-11-60-0	0	0	1.45538	0	0	0	0	2.20446	0.10853	0	0	0.1042	0.01789	0.00235	0	0	56.03744	0	4.36026	0.60559	0.98206	0	0	0.08021	0	0.00151	0	0	0	0	0	0	0	0	0	0.00215	0.65736	0.54598	0	0	0	0.62014	0	0	0	0.00479	0.00223	0	0.00515	0	0.9785	0.06681	0	0	0	0	0.01375	0	5.7722	6.10684	0.03407	0	0.00062	0	0.00575	0	0.00129	0.05801	0	0.31557	0.00307	0	0	0	0	0	0	0.00194	0	0.34254	0	0.48354	0	6.53995	0	0.12124	0	0	0.02353	0	1.43954	0	0.0051	0	0	0.04179	0	0	5.47597	0.0031	0.00101	2.07342	0.01111	0	0	0	0.00149	0.66032	1.59932	0	0	0	0	0	0	0.02095	0
daisy-11-7-0	0	0	1.88938	0	0.00157	0	0.00159	0.0463	0.08928	0.01111	0	0.12809	0.0113	0.00576	0	0	68.33281	0	1.71179	0.54458	1.32019	0	0	0.06877	0	0.00244	0	0.00607	0	0	0.00493	0	0	0	0.00432	0.00216	1.44775	0.32092	0	0.00455	0	0.36394	0	0	0	0	0	0	0.00277	0	1.04244	0.02848	0	0	0	0	0.01034	0	5.77287	2.55552	0.04979	0	0.0103	0	0.02221	0	0.08131	0.03049	0	0.36441	0	0	0	0	0.00817	0	0	0	0.00969	0.42433	0	0.36619	0	3.79987	0	0.1244	0	0	0.01426	0	1.37742	0	0.07615	0	0	0.02751	0	0	3.09529	0.03101	0	2.52791	0	0	0	0	0.00424	0.51325	1.20934	0	0	0	0	0	0	0.10045	0
halbarad-11-0-0	0	0	0	0	0.00345	0.10689	0	6.07943	18.22596	0	0	0.02489	0.09251	0	0	1.59457	16.91595	0.71928	6.51044	0.38969	1.23739	0	0	0.01162	0	0	0	0	0	0	0	0	0	1e-04	0.00145	0.00905	0.22657	0.21762	0	0	0	1.91187	0.85412	0	0	0	0	0	0.00226	0.59877	0.92713	0.01627	0	0	0	0	0.04979	0.17495	2.06793	13.10006	0.00868	0	0	0.00635	0.0071	0	0.00159	0.03074	0	0.36422	0	0	0	0	0	0.0474	0	0	0	1.07731	0.00536	2.35658	0	1.85905	0.44431	0.0209	0	0.00445	0.01535	0	0	0	0	0	0	0.0623	0.01885	0.06588	1.3658	0.00403	0.07954	6.81802	0	0	0.00054	0	0	0.7456	11.26351	1.22785	0	0.0212	0.00109	0	0.0013	0.00504	0
halbarad-11-7-0	0	0	0	0	0.00383	0.29233	0	14.64325	12.81782	0	0	0.01556	0.14696	0	0	3.59288	3.64459	0.30425	7.49516	1.30138	0.60997	0.00349	0	0.02794	0	0	0	0	0	0	0	0	0	0	0	0.0138	0.56549	0.26025	0	0	0	1.36811	0.71983	0	0	0	0	0	0.0122	0.24935	0.50351	0.0145	0	0.00277	0	0	0.03081	0.08453	4.42325	18.78851	0.01927	0	0	0.02251	0.00036	0	0.00073	0.04341	0	0.31153	0.01851	0.0057	0	0	0	0.00727	0	0	0	0.45402	0.00436	2.80837	0	1.66702	0.65501	0.0442	0	0	0.00756	0	0	0	0	0	0	0.1007	0	0.2638	3.59819	0.00664	0.1704	6.95763	0	0	0	0	0	0.03671	7.40193	3.45097	0	0.00559	0	0	0	0.0013	0
peacemaker-11-0-0	0.00025	0	0	0	0.01239	0.31722	0	0	6.2524	0	0.00137	0.11284	0.00419	0.00183	0	1.18682	17.48862	0.46351	16.95372	0.34489	1.19732	0	0	0.0027	0	0	0.00263	0.00058	0	0	0	0	0.00055	0.00018	0.00132	0	0.07792	1.80168	0	0	0.01072	1.2489	0	0	0	0	0	0	0.00409	3.58545	2.10452	0.09162	0	0	0	0	2e-04	0.00651	9.97949	12.30979	0.01637	0.00224	0.00206	0.01935	0.01176	0	0.02399	0.06327	0	0.07964	9e-04	0.00121	0	0.01119	0	0	0.00127	0	0	0	0	0.14264	0	0.92156	0	5e-04	0	0	0.01487	0.00025	0	0	0.03386	0	0.01003	0.02842	0	0	9.05881	0.01233	0.4909	0.97419	0.02278	0.01555	0.00449	0	0.00071	0.15658	10.76509	0.83977	0.62861	0	0	0.0011	0.00337	0.07414	0
peacemaker-11-60-0	0	0	0	0	0.01548	0.26477	0	0.00041	4.35236	0	0	0.04411	0.00894	0.00189	0	0.65448	18.10723	0.36073	9.3847	0.31317	1.53331	0	0	0.00026	0	0	0	0	0	0	0.00251	0	0	0.00048	0.00924	0	0.07889	1.42879	0	0	0.00972	1.57729	0	0	0	0	0	0	0.00111	4.04108	2.08504	0.12426	0	0.44395	0	0	0	0.03599	7.4224	17.98829	0.00974	0	9e-05	0.02982	0.00907	0	0	0.04187	0	0.05598	0.16171	0	0.00279	0	0	0	0	0	0	0	0	0.12013	0	0.85501	0	0	0	0	0.03068	0	0	0	0.00019	0.00508	0.00381	0.01222	0	0	11.26198	0.00544	0.35625	1.23562	0.01423	0.02348	0.00045	0	0.00017	0.6055	13.1977	1.00962	0.65476	0	0	0	0.0014	0.00431	0
peacemaker-11-7-0	0	0	0	0	0.00206	0.40437	0	0.00386	4.99914	0	0	0.03381	0.02134	0.00019	0	1.43826	13.87496	0.89264	20.93592	0.18177	0.65166	0	0.00901	0.0054	0	0	0	0.40552	0	0	0.00124	0.00226	0	0	0.00065	0	0.01585	1.32019	0	0	0.03355	0.92675	0	0	0	0	0	0	0.00094	2.83251	1.13396	0.27725	0	0.00085	0.02241	0	0	0.04047	10.86881	13.55944	0.03346	0	0	0.02873	0.00132	0	0.00321	0.07653	0	0.02694	0.28611	0.00475	0	0	0	0	0	0	0	0	0.00021	0.26714	0	0.80438	0	0.00162	0	0	0.04107	0	0	0	0	0.00658	0.0051	0.04208	0.00255	0	8.15256	0.00151	0.89244	0.98611	0	0	0	0	9e-05	0.11331	11.50225	1.36892	0.28451	0	0	0	0	0.16945	0
scavenger-11-0-0	0	0	0	0.00102	0.00325	0.25909	0	0.09378	6.11832	0	0	0.01031	0.01284	0	0	0.00921	9.92869	1.18649	2.03158	0.01955	3.73612	0	0	0.0069	0	0	0	0	0	0	0	0	0.00361	0	0	0.00138	0.12554	0.031	0	0	0	0.36941	0.50378	0	0	0	0	0	0.00993	2.57557	0.76812	0.23826	0	0	0	0	0.00443	0.33678	28.18465	18.19512	0.06018	0	0	0.01414	0.00128	0.00117	0.76817	0.0447	0	0.18561	0	0	0	0	0	0.00117	0	0	0	0.48474	0	0.40985	0	0.91207	0.00044	0.00283	0	0	0	0	0.03804	0	0.02867	0.00243	0.0021	0.00057	0.00395	0	10.91429	0.00427	0.03779	7.8162	0	0	0	0	0	0.03713	3.41856	0.00081	0	0	0	0	0	0.04412	0
scavenger-11-60-0	0	0	0	0	0.00773	0.05519	0	0.00393	0.46399	0	0	0.06291	0.00872	0.00036	0	0	8.30639	0.15334	20.44421	0	4.24389	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0	0.00087	0.00149	0	0	0	0.36224	0.20336	0	0	0	0	0	0	0.53569	0.73447	0.13625	0	0	0.01007	0	0	0.04595	38.87035	11.79693	0.00184	0	0	0.00062	0.0167	0	0.13171	0.00778	0	0.24587	0.35127	0	0	0	0	0	0	0	0	0.01201	0	0.03809	0	0.25228	0	0	0	0	0.01554	0.00042	0	0	0	0	0	0	0.02445	0	4.66938	0.00185	0.00045	5.10614	0.00264	0	0	0	0.00121	0.41951	2.2101	0.00051	0	0	0	0	0.00164	0.01664	0.0175
scavenger-11-7-0	0	0.00042	0	0.00067	0.00064	0.09763	0	0	4.34495	0	0	0.04308	0.00467	0	0	0.00156	17.35034	1.57504	3.23719	0	4.19247	0	0	0	0	0	0.0013	0.0019	0	0	0	0	0.00163	0	0	0	0.04446	0	0	0	0	0.37973	0.25579	0	0	0	0	0.006	0	6.69163	1.1828	0.03195	0	0	0	0	0.00088	0.11372	28.7085	11.72502	0.11885	0	0	0.01166	0.00124	0	0.05249	0.04753	0	0.3693	0.11777	0.00131	0	0	0	0	0	0	0	0.80456	0	0.29089	0	2.11783	0.00061	0	0	0	0.01219	0	0	0	0	0	0.00018	0.00107	0	0	3.14187	0.00148	0.03083	7.91404	0	0	0	0	0	0.06244	4.84894	0	0	0	0.00122	0	0	0.05775	0
tigress-11-0-0	0	0.00283	0	0	0.00031	0	0	0	15.16207	0.0015	0	0.04163	0.01595	0.01031	0	0	25.24902	0	0.59291	0.15944	1.03748	0	0	0	0	0	0.00442	0	0.00083	0.00064	0	0	0.0075	0	0	0.00368	0.08795	0	0	0.00373	0	1.1954	0	0	0	0	0	0	0	0	0.59454	0.04522	0.0011	0	0	0	0	0	21.61498	16.59663	0.00419	0	0.00612	0.01903	0.01753	0	0.07533	0.0512	0	0.92155	0.03847	0	0	0	0.01155	0	0	0	0	1.76276	0	0.90481	0	2.42297	0	0	0.00092	0.00889	0	0	0	0	0.00294	0	0	0.00902	0	0	2.80167	0.0071	0.24853	4.8239	0	0	0	0	0.00707	0.27288	3.0419	0	0.02982	0	0	0	0	0.07976	0
tigress-11-60-0	0	0	0	0.0062	0.00245	0	0	0	15.15496	0	0	0.07356	0.0318	0.00723	0	0	27.29874	0	0.44232	0.26389	1.06361	0	0	0	0	0.00016	0	0.01454	0	0.00476	0	0	0.00424	0	0	0.00399	0.10904	0	0.00282	0	0	0.9148	0	0	0	0	0	0	0	0	0.58494	0.09975	0	0	0	0	0	0	31.37389	10.28829	0.00188	0	0.00175	0.01694	0.01622	0	0.06653	0.05361	0	1.14833	0	0	0	0	0	0	0.00478	0	0	1.03997	0	0.30937	0	1.76219	0	0	0	0	0	0	0	0	0.00737	0	0	0.01233	0	0	2.61448	0.01395	0.36171	2.00827	0.00422	0.00047	0	0	0.00183	0.17719	2.46132	0	0.01335	0	0	0	0	0.15595	0
tigress-11-7-0	0	0	0	0.01321	0.00046	0	0	0	13.30666	0	0	0.0569	0.01681	0.00812	0	0	22.31776	0	2.83578	0.26072	1.29594	0	0	0	0	0	0	0	0	0	0	0	0.00421	0	0	0.00255	0.06458	0	0	0	0	1.27463	0	0	0	0	0.00345	0	0	0	0.59363	0.04898	0.00118	0	0	0	0	0.0479	22.0149	16.54376	0.00301	0	0.00344	0.0186	0.02029	0	0.88247	0.07119	0	0.89746	0	0	0	0	0	0	0	0	0	1.17088	0	0.48288	0	2.98841	0	0	0	0	0.00911	0	0	0	0.01337	0	0	0.01354	0	0	1.96219	0.00579	0.40619	6.29102	0.001	0	0	0	0.00229	0.86767	3.0098	0	0.03273	0	0	0	0	0.13453	0
