GO	kazan5500_2015_05_26_1_L01_1HP	kazan5500_2015_05_26_1_L01_2HP	kazan5500_2015_05_26_1_L01_3HP	kazan5500_2015_05_26_1_L01_4HP	kazan5500_2015_05_26_1_L01_5HP	kazan5500_2015_05_26_1_L01_6HP	kazan5500_2015_05_26_1_L01_8HP	kazan5500_2015_05_26_1_L02_10HP	kazan5500_2015_05_26_1_L02_11HP	kazan5500_2015_05_26_1_L02_12HP	kazan5500_2015_05_26_1_L02_14HP	kazan5500_2015_05_26_1_L02_15HP	kazan5500_2015_05_26_1_L02_16HP	kazan5500_2015_05_26_1_L02_9HP	kazan5500_2015_05_26_1_L03_17HP	kazan5500_2015_05_26_1_L03_19HP	kazan5500_2015_05_26_1_L03_20HP	kazan5500_2015_05_26_1_L03_21HP	kazan5500_2015_05_26_1_L03_22HP	kazan5500_2015_05_26_1_L03_23HP	kazan5500_2015_05_26_1_L03_24HP	kazan5500_2015_05_26_1_L04_25HP	kazan5500_2015_05_26_1_L04_26HP	kazan5500_2015_05_26_1_L04_27HP	kazan5500_2015_05_26_1_L04_28HP	kazan5500_2015_05_26_1_L04_29HP	kazan5500_2015_05_26_1_L04_30HP	kazan5500_2015_05_26_1_L04_31HP	kazan5500_2015_05_26_1_L05_32HP	kazan5500_2015_05_26_1_L05_33HP	kazan5500_2015_05_26_1_L05_34HP	kazan5500_2015_05_26_1_L05_36HP	kazan5500_2015_05_26_1_L05_37HP	kazan5500_2015_05_26_1_L05_38HP	kazan5500_2015_05_26_1_L05_39HP	kazan5500_2015_05_26_1_L06_40HP	kazan5500_2015_05_26_1_L06_41HP	kazan5500_2015_05_26_1_L06_42HP	kazan5500_2015_05_26_1_L06_43HP	kazan5500_2015_05_26_1_L06_44HP	kazan5500_2015_05_26_1_L06_45HP	kazan5500_2015_05_26_1_L06_46HP	kazan5500_2015_06_20_1_L01_50HP	kazan5500_2015_06_20_1_L01_52HP	kazan5500_2015_06_20_1_L01_53HP	kazan5500_2015_06_20_1_L01_54HP	kazan5500_2015_06_20_1_L01_55HP	kazan5500_2015_06_20_1_L01_56HP	kazan5500_2015_06_20_1_L01_57HP	kazan5500_2015_06_20_1_L01_59HP	kazan5500_2015_06_20_1_L02_35HP	kazan5500_2015_06_20_1_L02_48HP	kazan5500_2015_06_20_1_L02_49HP	kazan5500_2015_06_20_1_L02_60HP	kazan5500_2015_06_20_1_L02_61HP	kazan5500_2015_06_20_1_L02_62HP	kazan5500_2015_06_20_1_L02_64HP	kazan5500_2015_06_20_1_L02_65HP	kazan5500_2015_09_22_1_L06_55HP	kazan5500_2015_11_27_1_L02_51HP	kazan5500_2015_11_27_1_L02_58HP	kazan5500_2015_11_27_1_L02_63HP	kazan5500_2015_11_27_1_L02_84HP	kazan5500_2015_11_27_1_L02_97HP	kazan5500_2015_11_27_1_L03_100HP	kazan5500_2015_11_27_1_L03_101HP	kazan5500_2015_11_27_1_L03_102HP	kazan5500_2015_11_27_1_L03_105HP	kazan5500_2015_11_27_1_L03_73HP	kazan5500_2015_11_27_1_L03_74HP	kazan5500_2015_11_27_1_L04_76HP	kazan5500_2015_11_27_1_L04_77HP	kazan5500_2015_11_27_1_L04_78HP	kazan5500_2015_11_27_1_L04_79HP	kazan5500_2015_11_27_1_L04_80HP	kazan5500_2015_11_27_1_L05_81HP	kazan5500_2015_11_27_1_L05_83HP	kazan5500_2015_11_27_1_L05_85HP	kazan5500_2015_11_27_1_L05_86HP	kazan5500_2015_11_27_1_L05_88HP	kazan5500_2015_11_27_1_L05_89HP	kazan5500_2015_11_27_1_L05_90HP	kazan5500_2015_11_27_1_L06_92HP	kazan5500_2015_11_27_1_L06_93HP	kazan5500_2015_11_27_1_L06_95HP	kazan5500_2015_11_27_1_L06_96HP	kazan5500_2015_11_27_1_L06_98HP	kazan5500_2015_12_11_L01_66HP	kazan5500_2015_12_11_L01_67HP	kazan5500_2015_12_11_L01_68HP	kazan5500_2015_12_11_L01_69HP	kazan5500_2015_12_11_L01_70HP	kazan5500_2015_12_11_L01_71HP	kazan5500_2015_12_11_L02_106HP	kazan5500_2015_12_11_L02_107HP	kazan5500_2015_12_11_L02_108HP	kazan5500_2015_12_11_L02_72HP	kazan5500_2015_12_11_L05_7HP	kazan5500_2016_01_26_1_L04_109HP	kazan5500_2016_04_22_1_L01_115HP	kazan5500_2016_04_22_1_L01_119HP	kazan5500_2016_04_22_1_L02_137HP	kazan5500_2016_04_22_1_L02_138HP	kazan5500_2016_04_22_1_L02_140HP	kazan5500_2016_04_22_1_L02_141HP	kazan5500_2016_04_22_1_L02_144HP	kazan5500_2016_04_22_1_L02_145HP	kazan5500_2016_04_22_1_L02_147HP	kazan5500_2016_04_22_1_L03_134HP	kazan5500_2016_04_22_1_L03_135HP	kazan5500_2016_04_22_1_L03_136HP	kazan5500_2016_04_22_1_L03_146HP	kazan5500_2016_04_22_1_L03_149HP	kazan5500_2016_04_22_1_L03_150HP	kazan5500_2016_04_22_1_L05_148HP	kazan5500_2016_05_31_HP_A_L01_130HP	kazan5500_2016_05_31_HP_A_L01_133HP	kazan5500_2016_05_31_HP_A_L01_142HP	kazan5500_2016_05_31_HP_A_L01_143HP	kazan5500_2016_05_31_HP_A_L01_152HP	kazan5500_2016_05_31_HP_A_L01_154HP	kazan5500_2016_05_31_HP_A_L01_165HP	kazan5500_2016_05_31_HP_A_L02_131HP	kazan5500_2016_05_31_HP_A_L02_151HP	kazan5500_2016_05_31_HP_A_L02_155HP	kazan5500_2016_05_31_HP_A_L02_157HP	kazan5500_2016_05_31_HP_A_L02_158HP	kazan5500_2016_05_31_HP_A_L02_159HP	kazan5500_2016_05_31_HP_A_L02_163HP	kazan5500_2016_05_31_HP_A_L03_160HP	kazan5500_2016_05_31_HP_A_L03_162HP	kazan5500_2016_05_31_HP_A_L03_164HP	kazan5500_2016_05_31_HP_A_L03_167HP	kazan5500_2016_05_31_HP_A_L03_168HP	kazan5500_2016_05_31_HP_A_L04_166HP	kazan5500_2016_12_14_1_L01_203HP	kazan5500_2016_12_14_1_L01_204HP	kazan5500_2016_12_14_1_L01_205HP	kazan5500_2016_12_14_1_L01_206HP	kazan5500_2016_12_14_1_L01_207HP	kazan5500_2016_12_14_1_L01_208HP	kazan5500_2016_12_14_1_L02_209HP	kazan5500_2016_12_14_1_L02_210HP	kazan5500_2016_12_14_1_L02_211HP	kazan5500_2016_12_14_1_L02_212HP	kazan5500_2016_12_14_1_L02_213HP	kazan5500_2016_12_14_1_L02_214HP	kazan5500_2016_12_14_1_L03_174HP	kazan5500_2016_12_14_1_L03_175HP	kazan5500_2016_12_14_1_L03_176HP	kazan5500_2016_12_14_1_L03_177HP	kazan5500_2016_12_14_1_L03_215HP	kazan5500_2016_12_14_1_L03_216HP	kazan5500_2016_12_14_1_L04_178HP	kazan5500_2016_12_14_1_L04_179HP	kazan5500_2016_12_14_1_L04_180HP	kazan5500_2016_12_14_1_L04_181HP	kazan5500_2016_12_14_1_L04_182HP	kazan5500_2016_12_14_1_L04_183HP	kazan5500_2016_12_14_1_L05_184HP	kazan5500_2016_12_14_1_L05_185HP	kazan5500_2016_12_14_1_L05_186HP	kazan5500_2016_12_14_1_L05_187HP	kazan5500_2016_12_14_1_L05_188HP	kazan5500_2016_12_14_1_L05_189HP	kazan5500_2016_12_14_1_L06_190HP	kazan5500_2016_12_14_1_L06_191HP
GO:0000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.922	0	0	0	0	0	0	0	13.273	0	0	0	0	0	0	0	0	0	0	0	0	0	13.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.167	0	0	0	0	0	0	0	0	0
GO:0000015	1105.81	1961.031	767.421	4629.493	1085.108	938.572	2204.108	1305.147	889.422	1691.251	829.397	791.062	3039.356	1625.905	1113.294	1313.9	3835.629	2145.145	2346.095	2793.11	1533.806	2282.574	2679.794	4343.503	1366.609	3390.382	1907.712	1207.051	2325.237	2367.411	2363.266	3114.278	898.057	798.205	2122.348	2505.551	1780.283	3485.071	2395.808	2699.978	1714.008	432.064	1440.671	1001.672	752.35	586.973	759.004	813.946	852.688	542.756	1239.117	301.427	1017.54	430.844	203.538	369.334	859.525	3309.431	907.086	723.358	688.067	564.564	888.534	549.915	890.113	849.345	2116.978	902.971	1592.983	2323.491	259.566	774.762	1716.8	2965.237	3628.105	1349.472	1141.671	1436.544	1239.828	1411.644	104.774	767.198	1211.46	2832.721	6041.333	1318.112	443.862	634.855	1889.369	518.694	2460.266	2921.708	872.992	5443.026	666.657	648.641	281.622	1326.644	407.94	361.062	2423.862	382.864	2464.365	820.83	897.826	596.441	440.614	881.856	499.26	409.186	496.484	2165.484	1909.306	166.986	4548.107	224.773	314.853	1105.81	1961.031	767.421	4629.493	1085.108	938.572	2204.108	1305.147	889.422	1691.251	829.397	791.062	3039.356	1625.905	1113.294	1313.9	3835.629	2145.145	2346.095	2793.11	1533.806	2282.574	2679.794	4343.503	1366.609	3390.382	1907.712	1207.051	2325.237	2367.411	2363.266	3114.278	898.057	798.205	2122.348	2505.551	1780.283	3485.071	2395.808	2699.978	1714.008	432.064	1440.671	1001.672	752.35	586.973	759.004	813.946	852.688	542.756
GO:0000023	1.314	0	3.382	366.134	0.491	0.979	0	1.962	0	0	0.491	0	0	0.491	0.983	0	1.472	1.963	5.889	29.931	0	0	0	0	0	0.491	0	0	0	0	0	1.474	2.457	2.455	49.574	5.396	13.545	0	4.914	0.491	370.904	1.336	0	0.491	1.872	0	1.824	36.807	1.468	0.491	0.491	0	0	2.671	0	0	0	0.491	0	0	0	0	1.961	0	0	1.471	0	0	0.983	0	4.714	0	1.472	0	9.964	2.354	0	0	0.983	22.326	9.821	0	40.785	0.491	0	0.49	3.432	0	1.474	0.491	6.247	0.983	3.438	4.581	1.802	4.999	38.017	0	4.697	13.344	3.389	11.799	0	2.449	17.658	0	0	4.849	0	0	0.983	0.487	0.491	0	32.877	0	0	1.314	0	3.382	366.134	0.491	0.979	0	1.962	0	0	0.491	0	0	0.491	0.983	0	1.472	1.963	5.889	29.931	0	0	0	0	0	0.491	0	0	0	0	0	1.474	2.457	2.455	49.574	5.396	13.545	0	4.914	0.491	370.904	1.336	0	0.491	1.872	0	1.824	36.807	1.468	0.491
GO:0000027	1725.8	2256.935	1231.83	4185.753	2022.05	2766.541	2453.03	2691.76	1680.731	2083.516	2354.053	993.633	2549.56	938.046	496.815	2254.269	2131.504	1724.887	3069.123	3069.187	2454.71	3677.244	4069.541	5901.221	2022.736	3858.263	4365.108	3419.795	3035.906	2544.893	2792.058	4857.732	1309.331	1740.269	4872.294	2319.907	1738.431	4054.293	2825.702	3769.047	1243.903	612.967	1037.865	740.78	1028.976	658.632	1712.602	1406.964	1452.044	556.828	1047.561	367.106	994.112	839.345	578.038	624.091	1221.306	2513.039	960.251	730.754	649.325	1546.626	480.789	886.309	769.94	725.057	3662.95	866.355	1229.7	1993.962	459.196	707.817	1134.668	2473.633	2976.031	2886.005	1337.465	1639.921	2094.922	1605.553	235.054	1386.125	1880.931	2474.176	3972.47	1232.365	437.957	915.746	2141.483	826.579	4103.912	3698.498	1573.874	5668.617	727.009	923.896	457.893	1812.914	641.62	464.274	2745.071	836.753	2259.991	916.726	975.335	574.49	493.125	801.271	470.215	800.942	704.744	2517.632	2265.412	1789.615	3775.045	781.748	1405.313	1725.8	2256.935	1231.83	4185.753	2022.05	2766.541	2453.03	2691.76	1680.731	2083.516	2354.053	993.633	2549.56	938.046	496.815	2254.269	2131.504	1724.887	3069.123	3069.187	2454.71	3677.244	4069.541	5901.221	2022.736	3858.263	4365.108	3419.795	3035.906	2544.893	2792.058	4857.732	1309.331	1740.269	4872.294	2319.907	1738.431	4054.293	2825.702	3769.047	1243.903	612.967	1037.865	740.78	1028.976	658.632	1712.602	1406.964	1452.044	556.828
GO:0000030	27.579	34.778	259.863	40.925	14.622	17.799	45.399	10.449	12.929	8.701	2.946	2.482	26.909	22.915	55.405	78.319	40.376	146.868	70.255	175.26	104.703	50.104	1266.686	1384.102	54.832	81.28	10.232	3.668	62.341	29.219	129.797	160.142	54.062	22.976	611.466	304.407	356.299	25.744	101.031	40.039	377.002	3.565	6.214	23.432	235.449	59.503	132.435	271.501	23.307	8.559	5.878	12.034	153.691	12.415	18.369	123.471	290.641	106.968	20.974	34.131	12.747	35.11	23.679	8.643	15.819	26.507	431.696	13.375	19.905	139.541	63.925	8.143	51.793	4.346	775.704	61.941	9.298	20.845	22.987	193.12	94.452	112.672	98.657	36.234	172.122	24.395	56.085	27.798	68.459	134.236	488.196	2434.293	43.622	422.704	3.566	13.02	148.904	72.94	35.508	39.623	268.193	167.718	36.144	26.943	152.453	4.183	4.791	65.408	12.904	16.945	14.454	25.109	120.46	11.895	446.83	21.163	3.083	27.579	34.778	259.863	40.925	14.622	17.799	45.399	10.449	12.929	8.701	2.946	2.482	26.909	22.915	55.405	78.319	40.376	146.868	70.255	175.26	104.703	50.104	1266.686	1384.102	54.832	81.28	10.232	3.668	62.341	29.219	129.797	160.142	54.062	22.976	611.466	304.407	356.299	25.744	101.031	40.039	377.002	3.565	6.214	23.432	235.449	59.503	132.435	271.501	23.307	8.559
GO:0000034	223.12	236.867	607.965	1079.816	130.218	62.262	613.7	222.316	191.289	396.236	203.528	99.221	660.558	204.208	160.633	481.357	1620.919	194.719	509.736	1073.791	394.493	597.675	1191.746	2620.836	324.312	287.081	143.517	110.457	825.49	538.024	569.836	502.662	398.027	328.839	2361.954	1400.837	1187.945	1278.847	472.506	609.557	1469.495	58.141	189.529	61.689	186.219	172.566	108.707	981.45	540.278	267.452	411.161	127.809	469.339	258.434	54.474	29.262	221.521	1472.076	311.781	194.108	175.338	120.705	152.254	123.49	175.367	153.902	355.149	86.483	159.626	586.708	169.704	117.76	210.874	615.555	756.026	264.477	123.441	93.477	513.145	942.214	118.2	191.784	257.799	1651.513	3708.762	139.541	145.93	51.958	186.082	68.471	1022.8	880.307	235.086	1360.171	140.742	143.32	151.255	351.875	170.624	88.331	715.287	412.807	213.656	251.041	616.904	171.458	188.148	247.796	74.229	83.383	124.69	1022.758	830.731	48.101	2764.61	94.368	130.84	223.12	236.867	607.965	1079.816	130.218	62.262	613.7	222.316	191.289	396.236	203.528	99.221	660.558	204.208	160.633	481.357	1620.919	194.719	509.736	1073.791	394.493	597.675	1191.746	2620.836	324.312	287.081	143.517	110.457	825.49	538.024	569.836	502.662	398.027	328.839	2361.954	1400.837	1187.945	1278.847	472.506	609.557	1469.495	58.141	189.529	61.689	186.219	172.566	108.707	981.45	540.278	267.452
GO:0000036	4040.04	4471.666	1981.002	6581.422	4084.133	4008.85	5577.119	3154.064	2889.132	3175.447	2305.411	1260.099	3877.702	2002.191	1241.029	4736.248	3827.056	2853.971	5092.15	4253.126	3382.526	5224.486	6551.709	10503.993	2719.174	5908.844	6523.6	5524.981	3840.914	4969.183	4527.869	8677.716	1620.629	2130.733	9610.988	4148.732	2559.414	7223.539	4687.381	6565.544	366.721	887.381	2331.989	2019.714	1810.499	1538.246	2619.037	1446.353	2733.918	1080.647	1577.973	504.969	1409.527	1335.231	795.868	1283.202	2155.733	3702.919	1605.26	1414.862	1280.326	5084.698	930.796	1818.562	1241.995	1240.434	9049.12	1756.775	2682.257	2984.679	840.389	1459.643	2439.045	3653.679	5349.649	4885.274	2530.554	3361.53	4328.553	2581.335	92.55	2473.895	3366.842	3594.454	5675.861	1955.067	500.711	1426.362	3685.484	1641.297	7408.317	6392.83	2721.805	8438.244	1280.77	1532.481	347.349	2584.597	944.601	380.304	3317.697	803.962	3787.862	1378.236	2108.208	1138.351	1647.069	1923.91	1108.934	1300.173	1747.452	4039.481	4090.49	3690.342	7098.563	1303.926	2793.123	4040.04	4471.666	1981.002	6581.422	4084.133	4008.85	5577.119	3154.064	2889.132	3175.447	2305.411	1260.099	3877.702	2002.191	1241.029	4736.248	3827.056	2853.971	5092.15	4253.126	3382.526	5224.486	6551.709	10503.993	2719.174	5908.844	6523.6	5524.981	3840.914	4969.183	4527.869	8677.716	1620.629	2130.733	9610.988	4148.732	2559.414	7223.539	4687.381	6565.544	366.721	887.381	2331.989	2019.714	1810.499	1538.246	2619.037	1446.353	2733.918	1080.647
GO:0000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0.712	0	0	0	0	0	0	0	0	0	0	0	0	0	2.863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.009	0	0	0	0	0	0	0	0	0
GO:0000045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.108	0	0	0	0	0	0	0	5.108	0	0	0	0	0	0	0	0	0	0	0	0	0	3.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.701	0	0	0	0	0	0	0	0	0
GO:0000049	31927.78	36821.372	22571.884	64080.688	31519.853	40407.964	51905.229	41044.668	25051.567	28746.959	21753.53	16548.659	42926.263	19798.496	13601.318	36618.37	45019.253	35545.407	42570.532	40243.815	33030.16	56049.637	56912.994	89043.879	30371.673	57749.184	64503.294	50201.249	46992.724	44024.344	47259.341	83485.827	18536.069	26358.351	69929.034	37306.087	23125.938	64059.655	39365.215	52648.216	12714.02	10095.014	23762.341	15632.158	14505.194	12543.422	23917.928	19783.196	22126.347	8292.396	15998.842	5537.723	15536.595	12461.894	7512.576	8678.102	17557.801	34939.806	16696.418	15017.548	12259.686	24421.326	10283.403	15221.951	14671.443	15314.801	56093.692	15963.857	26990.409	36602.894	8854.113	14952.937	20926.959	43698.475	51159.134	44541.567	28660.846	32111.288	37463.573	26439.208	1935.189	22958.435	32584.253	42209.609	63918.267	20798.683	6101.683	12996.707	40326.482	12343.811	63690.267	59128.172	22424.183	93363.307	15168.238	14319.173	3965.144	27701.935	10221.993	6799.717	40426.367	9212.848	39373.949	13433.377	16739.3	9349.466	8514.093	13631.895	10519.897	11509.497	13821.004	40359.594	35372.695	23580.642	47184.602	11319.479	23706.446	31927.78	36821.372	22571.884	64080.688	31519.853	40407.964	51905.229	41044.668	25051.567	28746.959	21753.53	16548.659	42926.263	19798.496	13601.318	36618.37	45019.253	35545.407	42570.532	40243.815	33030.16	56049.637	56912.994	89043.879	30371.673	57749.184	64503.294	50201.249	46992.724	44024.344	47259.341	83485.827	18536.069	26358.351	69929.034	37306.087	23125.938	64059.655	39365.215	52648.216	12714.02	10095.014	23762.341	15632.158	14505.194	12543.422	23917.928	19783.196	22126.347	8292.396
