SampleID	ko00010	ko00030	ko00040	ko00051	ko00052	ko00053	ko00061	ko00071	ko00121	ko00130	ko00190	ko00230	ko00240	ko00250	ko00260	ko00270	ko00290	ko00300	ko00330	ko00340	ko00360	ko00400	ko00430	ko00440	ko00471	ko00473	ko00480	ko00500	ko00510	ko00511	ko00520	ko00521	ko00531	ko00540	ko00550	ko00561	ko00564	ko00620	ko00626	ko00630	ko00640	ko00650	ko00670	ko00680	ko00720	ko00730	ko00740	ko00750	ko00760	ko00770	ko00780	ko00785	ko00790	ko00860	ko00900	ko00908	ko00910	ko00920	ko00970	ko01051	ko01053	ko01055	ko02010	ko02020	ko02030	ko02040	ko02060	ko03008	ko03010	ko03013	ko03018	ko03020	ko03030	ko03060	ko03070	ko03410	ko03420	ko03430	ko03440	ko04112	ko04122	ko04141	ko04626	ko04910	ko04974	ko05120	ko00280	ko00310	ko00362	ko00450	ko00600	ko00660	ko01040	ko04146	ko00140	ko00311	ko00020	ko00100	ko00590	ko00633	ko00906	ko00710	ko00523	ko00562	ko00983	ko00350	ko00364	ko00627	ko00791	ko05016	ko05100	ko05142	ko05150	ko00281	ko00625	ko00960	ko00361	ko00950	ko03015	ko03022	ko03050	ko00624	ko00363	ko04210	ko04621	ko05111	ko05131	ko00621	ko00472	ko00380
kazan5500_2015_05_26_1_L01_1HP_F3	186.7839060796	247.4386547408	75.8092731183	138.6947831031	124.7368824827	14.9149845652	153.9410970228	46.4111764446	368.2389671245	13.5585245528	47.7543777451	124.8435630082	160.294908506	NA	131.1168089124	167.5210214828	405.5048904447	232.4589007589	114.5980456049	171.9714642546	29.2783300655	150.6422062177	94.5745727796	4.7710171486	248.4219822814	151.4671663565	53.8096629545	140.0938957521	2.9839665585	71.6167195	140.1253907198	204.5709609358	NA	13.785810927	182.5131919962	42.9159118415	99.0045791739	168.8426772796	20.0369658977	84.7409037812	75.4817119181	82.6923745334	209.509344904	67.8191676359	132.529942978	267.3450871351	132.1137051634	170.8334271898	105.8388225662	205.2533717482	113.8502891734	25.0688379275	59.097866573	56.6220232574	134.7007019739	50.5207600206	72.1652989399	NA	322.672404992	967.8776065228	8.2033693682	597.7586356957	88.7619176381	43.3354710117	291.5705393693	172.7746152831	39.3820752808	5.0128039326	354.7154603705	5.5663768027	107.1038705372	155.9114062343	114.1688067144	137.6167738789	98.3717342192	97.8577009067	101.7768022375	157.3496694551	148.2350954586	217.4299291273	132.1462196499	5.6769331444	56.8276186589	18.1256654106	2.2891903176	16.8093955079	NA	NA	30.7893934679	216.6999423774	NA	NA	NA	19.9588431188	NA	NA	NA	NA	NA	NA	NA	303.7733320278	NA	NA	NA	NA	NA	7.4481659379	NA	NA	NA	NA	2.650636987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_2HP_F3	266.1241820528	376.4088444732	120.0447150037	218.5899709529	201.7947084541	20.933138111	218.6754966813	58.4647569184	583.9586560255	25.972055197	72.607629533	189.4389813343	238.1617268928	435.1023091659	212.9923663207	246.9196040357	632.9440242794	389.3048660567	176.8614042874	276.8852399066	52.8643871294	237.8882521576	152.8110377767	10.4471148979	390.0320164598	237.9713902802	88.0838472017	220.2112490883	7.1144653879	177.9513402484	227.3914303558	323.8969126376	53.0887881683	54.4806410265	286.5800974992	69.0203429735	141.4435974595	255.4499582633	23.9331687434	132.5400848047	107.3689000142	123.2794992217	342.4340147862	109.1806633557	202.9092986271	427.3876020193	219.5593384762	283.229493204	178.1782601854	353.293281892	214.8239835535	47.6868089154	104.0941017287	103.537405141	226.4596396304	91.1443749647	111.7114037324	NA	484.9039958334	1538.0592045064	6.4566863574	959.5982131735	124.0538899078	73.1274221237	509.8833694863	306.4731958818	41.1305842684	6.7398471186	612.6234674236	10.6097075793	169.8192680399	251.2523446472	172.245596985	228.0161379385	142.5171622414	148.9255399113	156.1587108682	246.6815755278	223.0106235754	377.9586636716	235.5489528535	10.3598749743	84.2705322778	31.1897994432	6.5666578057	26.0663361039	NA	40.0663605568	43.277166848	336.8190403501	52.5520195798	NA	NA	34.3775352409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_3HP_F3	211.0061252888	254.6881287905	146.0926712296	181.2892257777	144.5439613228	34.4808957517	170.700599863	50.446225475	476.5329283707	29.5149734298	65.0956950106	138.9590981632	171.9130886245	344.7638809012	147.9995583343	174.5509848993	421.6202305726	220.4552550129	125.7524712636	172.2295879893	40.1637160248	150.9431809679	127.5133178398	18.914665345	260.8311540052	185.2106264718	66.5615669056	144.0554585458	14.9326739697	291.9599545545	172.3630499386	350.740292481	122.7307699847	118.6322319846	194.3294580215	NA	80.6642474109	198.013471847	32.6602527436	98.9838971121	77.5503424259	93.3080413578	246.2386234263	80.4142720768	190.4393736066	218.592916834	145.2323856182	193.2135188616	124.8403897942	223.8329279977	166.4443991992	110.551272935	125.5317778182	45.3363513664	142.850834828	79.086964112	91.3517960932	NA	332.8594112622	725.1467104996	6.0429355213	974.9420215186	59.9370041085	30.1567519092	100.3687787075	64.6133977776	17.8370277326	6.4237146452	450.9451776668	5.6458711388	121.4692402829	185.4063304423	117.5040842047	162.9753756322	103.0472467333	101.872423251	106.0256161353	160.4119032969	158.0255521525	237.3963205916	81.4673815325	10.8938195813	58.5019289447	24.2131391685	13.4801549923	20.2236681838	NA	28.0009424128	18.2201058306	201.937706616	NA	NA	NA	31.6107039125	7.8514987529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_4HP_F3	396.4863775723	525.3578137514	340.1933107295	408.4323850439	365.1311574377	83.0785524251	361.733456679	111.7144708811	885.0995780761	88.3646505412	140.8287355328	249.1988137735	312.9342277315	611.0566204584	315.6430724478	306.3466437351	587.4706246224	391.5482544029	237.0498390128	424.8626938357	104.2528784154	301.6788185022	269.9552748012	76.8412151213	561.3897244589	276.2457428792	173.0168875826	312.0671639288	25.1125335879	1078.7545984378	406.8289851619	568.8736424741	485.6768317901	349.6100805904	412.5783314336	75.5802972087	114.1838903257	361.160687461	100.9699329514	221.5803135174	171.9736677318	162.7819696689	520.6504825772	171.9023536828	412.6514455984	388.4030633048	284.1660600614	389.030724851	300.2259786365	470.0697294609	488.4174800232	492.5293091984	442.6367869013	113.573260057	309.983792588	278.9485950547	196.5051751376	287.8167750904	412.0343152023	1436.4571995979	15.3961786479	1222.8023095127	99.6028357025	55.8512000473	75.2756581637	29.3418281122	15.3386956104	15.206726284	566.2610074306	17.0825530367	232.8141338113	447.4341547446	325.6925048598	357.0005439569	186.3275454698	250.3961287913	203.9711230958	423.4387400743	393.0019714688	381.6024171936	161.0564071353	31.6177855324	60.5710755209	40.7972015212	43.7153026711	38.0407313001	108.292381961	50.825497655	18.3392113063	NA	NA	428.7759834705	NA	101.3721561327	31.8075532599	74.0391955873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_5HP_F3	224.9358943208	261.5351567223	98.2563449083	155.5450159673	143.1369518146	22.1081329613	141.6697606509	60.0878407044	839.288173075	33.5048820772	62.6273844483	162.3313378478	217.3386732287	333.4580129942	169.3870894075	215.2249653746	540.7902034668	276.1828903763	124.6353084413	234.1648668024	44.0224403124	183.5317992712	109.5159056163	7.6639214689	333.0505570772	121.2876647977	51.2786161964	147.7222250483	13.2602958189	106.6755212358	167.6726677049	259.4499384513	30.7983873565	30.9795186165	200.763982508	43.0865016566	118.6409033048	216.2024428424	28.6473575829	107.5002872697	110.9312891898	117.437856908	251.5754036801	183.6984081538	206.0428334182	328.2626259852	154.7692944608	201.7801707277	139.7141562304	315.5719626257	170.0769801762	34.4910919945	75.7717062085	104.8303905087	176.330073918	68.6341174441	81.0425373584	NA	429.3946664676	936.4782881715	NA	736.8892065047	98.3844869316	28.6101967474	NA	7.5138444593	30.0768099046	25.5128739294	434.3704381752	23.4939425644	139.7803429942	209.9387095192	152.1473975413	167.6353625156	115.7765003951	150.8716881137	146.758384922	191.9756660428	174.7877201619	228.2896004928	180.2230073982	11.8544223716	53.3887243579	20.5611550067	3.2343725318	28.7456099002	69.4410585972	32.7891193999	39.8212936455	257.4399871111	31.3264390071	347.2505866852	27.1933854224	NA	NA	NA	214.8398899304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4330293933	NA	0.5083564668	NA	NA	NA	NA	NA	21.35024618	7.6884055563	17.7558209133	11.4120480857	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_6HP_F3	773.180849352	972.4753444592	617.804256437	930.3566969962	741.6674712804	172.3889362711	754.0945398432	185.3654608844	1805.5553373296	216.1034873834	259.9628538313	486.0749034175	610.468426287	1092.2530688174	555.9148839965	570.3519648211	972.1244404551	702.2231712245	430.2394689333	718.9268076643	156.0979605326	498.9354904077	481.1576538341	138.8180009123	932.0900640421	654.8311271739	325.3325985879	566.5673070085	43.872450156	1796.3534884374	816.5251011216	1205.8034919034	779.8958085792	598.6903914108	775.0227313513	167.3563532166	233.8265377364	665.6961726713	193.505762824	378.6252816465	328.5339263249	303.5165580284	897.6269517169	303.394699537	687.6993354612	715.5801658606	403.4284890496	707.2874714744	551.2052679867	870.2329673711	810.6724727584	834.5589487844	765.5467320868	190.2587570597	566.0575189417	464.3940137414	375.3693933741	NA	823.5313820792	2110.1875113682	45.4395611232	2689.5763229923	242.0293201226	107.9002371782	NA	15.3076105	354.9395094443	24.3718876427	888.7773005248	26.4523939188	377.4063797622	684.8443084096	570.8669384324	666.9346815741	314.2625149449	436.6946756743	365.8197912141	749.6878758842	702.2603077527	646.3925282966	288.6908571201	45.0775584053	100.6187454919	66.7259057379	80.6614246211	75.3990164629	226.4438007593	84.4536149072	43.2199099955	716.4900973822	NA	657.7422461405	NA	179.9939494996	50.6342878718	141.1671235791	698.1217584753	NA	NA	17.5246219357	NA	944.9282174115	NA	NA	959.6322642435	NA	NA	63.4482250602	NA	NA	NA	NA	28.950114093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6825558624	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L01_8HP_F3	222.5156521467	257.6251470568	120.7026991217	167.2351280465	127.4432744188	34.7113724177	170.4659446293	67.629455285	755.9245095108	27.2451921982	60.8139152443	153.970544215	182.6674417521	361.4480850169	167.5874168634	200.2856333662	489.7562114896	259.1790173987	134.3557410894	163.447330717	40.355801835	143.7376801143	114.341478784	19.0293681252	252.7326549662	176.3694904457	73.3580859786	144.5759603211	13.6413895586	235.3026970529	166.2158521979	285.5608926535	103.2484836946	100.8480059574	191.2847607851	NA	85.6496720647	216.9066091809	31.0671450131	102.1496120736	95.3650448801	108.3815685321	264.2942882968	84.1170617522	197.2282944161	216.1464210066	126.8710615471	224.4766260035	130.622011983	263.327115684	126.3664468673	98.462474831	114.1952605854	46.3714590576	156.6558411254	99.682697991	90.7113684416	NA	386.4275099712	678.8872400599	7.1742485635	625.0472022376	60.3164012866	33.9957565546	155.7392305331	110.8071265552	17.1815035973	4.9459876495	517.7615076232	5.1716052518	140.2876353767	189.3048825872	118.1045361156	164.9796138495	87.4560414856	102.3292844095	112.7279324909	179.3573473864	168.1944521723	246.1656572272	93.22411895	10.1249395585	69.4110110838	24.2081202987	10.5157961099	20.7242246015	NA	30.9143016105	32.4265496694	228.7744404416	NA	NA	NA	33.8235036334	4.7100028902	14.173232909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L02_10HP_F3	287.016609915	321.9285104077	266.6603960261	261.0482753794	222.8720203658	60.650361834	295.0498177184	NA	235.4431534697	79.6587041869	112.0539874066	206.775050655	262.4196170229	629.9902298152	221.0485251523	254.8950419697	735.7131077102	356.4921594973	194.6422890885	222.2248258846	68.2014884082	233.4691898287	NA	26.9656132829	478.1128551202	349.3802488938	84.6399191435	216.5024088745	41.9104514938	381.9382498378	265.725102094	725.6609922571	139.3043453172	243.9871670079	353.6035765293	NA	68.4596806098	281.8721222956	60.8409394838	106.7493126489	110.6351975565	151.6850622276	407.7140016814	113.4116781617	349.1801938448	373.8253833688	216.7273108246	293.6562082947	208.4434888649	374.1623911664	227.6333146002	121.6616121762	203.352171474	52.4086452785	229.2733509112	127.7114012189	148.9305041147	NA	506.0608325557	706.8635548239	NA	1306.6066833109	45.2345985865	31.989469435	NA	22.1618756387	13.6830861769	8.7313300537	533.2744701584	6.0357510599	184.2266688304	180.9401121218	151.7722026838	248.3168245527	117.1159258385	137.6803852761	150.3725445262	202.308940739	227.9156291052	333.1167493844	87.3555638618	9.7600003453	76.6019745349	24.2564160567	22.3790738146	30.1782291245	65.5720645869	35.0949097857	7.2361086292	NA	NA	NA	NA	41.8765271045	9.5120954212	21.3515389971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5995606642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L02_11HP_F3	517.9332855292	758.7241220442	372.8553342379	466.6013092621	417.1149536988	52.034039355	589.1314159855	131.8949733719	1390.7163306448	94.5039232294	174.9859976027	364.8331926076	442.400938555	810.2893945842	428.6914059281	503.9598613395	1008.7643645263	712.6821691771	359.9716440145	654.2868268668	125.4731936693	478.7176915101	298.1530294817	96.0536964926	880.3553942956	511.1202963404	217.3254655581	428.194657531	22.5090788328	892.5713587685	475.0847482333	472.3536240801	388.7586091996	238.2378373067	608.0091857691	141.2143619412	253.1027866393	488.2313146965	102.3769883658	329.2174426586	241.7476666328	229.0194329807	712.2328284121	214.0641178476	471.202305779	788.1370651014	456.3180825482	606.2084296724	453.8045186534	726.270188288	532.9473153572	360.6664482671	382.1929095593	234.8679324225	500.7831844166	287.6820807258	233.749044151	NA	736.5136303925	2706.9210863011	48.1245503058	983.2130761732	229.1160471781	133.5061688993	773.2070938396	486.6434593945	102.591207583	18.1032629849	759.6646743914	23.0344128247	300.9244320857	472.8484601217	406.4049214957	514.3995381404	227.854237971	342.0562865727	310.9090872263	563.8441098591	497.9453602465	604.6657102328	407.5834637243	22.4266273127	125.4040664023	62.0828617582	30.7928235677	61.0471663345	NA	58.2782358646	57.0094718487	652.103684275	NA	NA	NA	86.8875589325	17.6759493676	59.3436689449	NA	NA	NA	NA	NA	821.2648545329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kazan5500_2015_05_26_1_L02_12HP_F3	297.3991475683	329.0101700993	171.3511787482	230.471230595	156.8682755564	63.0584820484	240.7139319605	61.0315285668	358.8260371996	41.8653552318	93.0932074583	197.7096054827	243.1162231478	531.799501106	214.599103747	261.3827830746	749.6082290818	299.0568158391	171.0751416211	159.7178582778	50.8277781539	184.4404534094	171.9362853643	12.2131437239	295.8196465958	258.2385531273	74.499304547	182.8153733326	26.8753471163	185.2697502682	215.5273478976	362.3629753097	54.9956879839	136.847775321	235.4554451425	34.5338017517	80.6873168929	290.8960541437	45.6249369984	106.262237456	111.3698605484	144.8255708642	346.0424331625	112.2828180836	306.16082192	297.7511842641	147.5877850327	278.8209513878	138.6026855264	331.8296651481	148.7483892569	42.1885290983	105.2450502156	39.9822036704	189.7000932104	93.5288510505	129.9681046171	NA	533.3952771228	963.2901290983	3.0889414264	778.7430801169	63.6312148675	28.0532797168	91.0807126088	60.0820320818	17.895621061	5.0533688444	645.9987590793	3.6584196873	175.5115410058	218.2080535569	129.4474499434	208.9286332974	138.2593101782	118.4386244143	136.1104804915	153.1357015996	206.8402916314	278.1412640995	74.6307193802	8.5713593524	93.2133275555	26.0326920275	12.1477092741	20.1403258242	NA	42.5296306666	28.1062373814	274.9220532948	56.6390159722	NA	NA	35.6973962215	NA	NA	NA	NA	NA	12.9767599575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1225419903	NA	NA	NA	NA	NA
