Group.1	1HP	2HP	5HP	6HP	8HP	11HP	15HP	16HP	9HP	21HP	22HP	23HP	24HP	26HP	27HP	31HP	32HP	33HP	34HP	39HP	40HP	41HP	42HP	50HP	53HP	55HP	56HP	57HP	59HP	35HP	48HP	49HP	60HP	61HP	62HP	64HP	51HP	58HP	63HP	84HP	97HP	101HP	102HP	105HP	73HP	74HP	77HP	78HP	79HP	80HP	83HP	85HP	86HP	89HP	90HP	95HP	96HP	98HP	67HP	68HP	69HP	70HP	71HP	106HP	107HP	108HP	72HP	109HP	137HP	134HP	135HP	136HP	130HP	131HP	159HP	163HP	160HP	164HP	167HP	168HP
Amino acid metabolism	1403.0916677415	2701.8288138962	2223.6277544438	6007.964672519	1991.067219501	5141.1147874805	1949.7451455548	2548.2575352297	1067.2694917887	1972.5272980548	4102.0169705274	3077.2567662913	4070.946518021	2474.4032292048	4606.8836370288	5048.5489316526	5013.6742797471	3710.5596243461	4131.5378083089	1277.7146841339	2015.1867113639	7530.9419307694	2747.6621376716	1637.8251029295	2394.0420327678	883.8824693952	794.6620520757	1197.810203422	2025.4521793806	1874.6584458362	299.7798947091	970.4584924752	268.5787560748	858.4094113558	832.2087802218	431.265466364	1381.1869420995	7751.7079035839	2067.7049247512	3295.1158303729	3017.3709186779	1668.2103198504	1398.7607822624	4237.5867182703	2096.6051826261	3323.4090501458	1442.2676843681	1897.7931492253	1211.907751487	4897.9388860818	1382.4080528461	2847.654090036	2149.5776543297	1041.7297916687	1699.5008032987	2964.6532836314	4472.2214107505	2931.4032072996	901.3129028023	2006.3769544956	1848.1677514849	2792.9737460328	558.7087586469	745.7129255278	380.3907699661	1112.1351196767	419.4390822706	1230.2429775283	440.6705877062	704.0950743173	856.1688176212	437.1619552195	2233.0706036612	3757.8318178495	2199.9264514456	1725.2620770916	231.9810200996	2158.2232376246	3676.3073384626	3736.3064625334
Amino acid metabolism| Alanine, aspartate and glutamate metabolism	0	435.1023091659	333.4580129942	1092.2530688174	361.4480850169	810.2893945842	332.9481692129	513.946118173	0	356.5109281443	683.4476050404	547.2949710822	749.9879886553	412.5566386723	870.9391527245	956.5605759679	1000.077538826	773.4719970045	628.3057483641	211.6779080374	327.8782168462	996.4453836129	495.1880503984	168.891782112	449.715801985	156.7932863527	150.5696479323	0	310.2040993173	275.4808979386	0	175.6674568955	0	143.6272481972	0	0	0	888.5803915491	0	645.5014912748	539.6454302273	289.4773956772	240.5735812787	732.5782235357	359.4131567873	585.979745012	277.1344738438	0	224.0843900896	886.817249851	251.5549955937	497.8482250252	366.4800404333	0	0	476.9555956364	810.8426124935	504.872614863	157.9522200554	357.8963268891	323.9742019427	511.615220118	0	0	0	186.0139341095	0	208.8522707418	0	123.4060228385	142.3915758434	0	395.4033989956	693.766663028	383.7717796811	278.0124625695	24.8913618706	427.823086292	615.5230431023	634.9916670999
Amino acid metabolism| Arginine and proline metabolism	114.5980456049	176.8614042874	124.6353084413	430.2394689333	134.3557410894	359.9716440145	121.9207268694	167.5912274715	91.077594406	127.2980158923	267.1649364066	212.1936054476	265.0516283101	161.0219252348	316.5578789916	331.6332348339	343.6389261756	252.6659309897	260.4842614899	81.5288968767	137.0439756688	476.5024398149	182.3025351783	101.2154904408	170.3282335875	60.8857030449	57.5560071957	99.3570608155	144.1470287861	115.0482271926	23.8604120336	64.6547229163	21.4491599103	57.4342184723	63.9058477101	36.8887378568	100.106965634	522.1166677811	174.2839814876	222.2623845058	212.9014076616	112.9635460345	92.8377410323	295.7427923818	141.1371782657	239.8349492392	93.9320042659	157.3037047385	79.8759934839	345.7657113568	95.696418249	198.2252661614	137.1190631637	85.9277432432	142.0551106248	194.1775630073	301.8044567969	211.2523983041	60.0127632498	132.7603935034	123.5271895227	199.8841283259	47.0729469445	59.1902647537	28.0190507103	78.3223362003	34.7761581129	79.4044530873	33.4702051907	46.9545788385	60.9813330862	31.2787533167	148.484555846	263.7508704383	148.2800212316	117.4193193066	16.4299037712	141.7512050994	255.287140652	255.8787122546
Amino acid metabolism| Cysteine and methionine metabolism	167.5210214828	246.9196040357	215.2249653746	570.3519648211	200.2856333662	503.9598613395	192.9967102003	222.5769908448	126.6634472632	193.8442030994	419.0561430592	283.0465911071	356.2013236634	236.3487105391	413.701013883	428.4669873857	411.652170329	318.1379708286	401.0161077558	126.4440462017	209.0244925073	724.3482948855	253.3848215193	176.3881662691	197.2096308466	88.971259202	79.1820351011	143.9649766963	206.4779314938	168.4850237779	36.8946850332	91.2372189936	30.2728236329	84.391346009	92.9285978983	50.2190862356	178.8643471305	974.5563651607	243.3366234942	305.6669248918	283.4124694598	165.9052129596	140.5071504836	375.2130878623	213.33097152	314.6941057415	137.6341390381	211.3598438659	130.1566376013	433.2215675697	136.1572087864	287.9999605484	222.2687005124	137.0347512698	210.0247449497	286.4429515949	399.4926759626	268.1427132169	91.266072447	194.4199127436	170.9494792228	245.2673415971	65.3389786518	88.6025898645	48.1707691902	113.5601733539	49.4134236418	130.639908918	54.0185948661	70.4098219606	80.7823631944	64.7213953362	222.8789696508	345.7165434331	209.8098257659	192.6814544792	26.8604404143	192.9276436731	361.9016554161	352.9452233341
Amino acid metabolism| Glycine, serine and threonine metabolism	131.1168089124	212.9923663207	169.3870894075	555.9148839965	167.5874168634	428.6914059281	161.607278584	192.6649404629	114.2812005695	156.8517593464	302.9347032189	282.9286834217	335.0266180283	193.3439747142	375.2641297698	444.4872289067	395.1058339698	282.5008742116	335.3259508889	110.9130144095	168.5422322456	587.2901081899	237.037886984	147.8636724886	218.6014024814	75.2596823377	71.7758286425	120.6453212266	195.498607222	146.4071494341	33.2957474709	82.4918373948	28.2057941603	72.5726471799	74.237176207	41.0067689538	129.726188387	772.8083430347	190.8324840689	269.5850539429	268.3245583018	150.5304508789	123.1745354527	391.2026922425	176.0386859653	296.8552750582	111.7340912142	182.1309072854	94.1509828028	448.9673496091	119.1946854102	205.9964318433	160.9914035403	97.7061320751	163.7162890799	235.9488935627	395.2612606931	274.5459404242	72.4519538447	154.3492660634	159.5568542868	258.4745562207	53.0000998111	67.9313023023	31.7309628009	89.9315390222	41.2800026755	95.6486719003	47.0287242024	57.5744606631	75.4959994402	38.7387937175	185.0202045635	342.6378999727	172.7914056822	155.8893781127	23.7349394914	168.9983090143	292.7228042967	296.5419532646
Amino acid metabolism| Histidine metabolism	171.9714642546	276.8852399066	234.1648668024	718.9268076643	163.447330717	654.2868268668	172.9303368955	168.923274246	99.8277613371	156.8988158224	286.4367455182	350.4585451348	467.8165554031	260.163998509	498.3057233857	630.4042144443	455.7400647977	306.5667162848	394.8941651135	106.8521184539	194.6271365999	780.2430814018	229.3855981975	51.4930265371	324.2606593634	91.752300313	82.7882280649	95.1118389173	209.7250464677	227.3711013132	30.2172909473	100.2553465316	30.2797648738	94.6386052513	114.6553762331	31.1344965456	111.5113016133	408.3297387529	208.9446455437	302.1943101085	341.9379090229	141.0384137454	143.7712468045	573.1584249582	191.1178133961	357.8829890774	107.6859252239	164.8357218841	88.2217629551	609.3563379649	146.5481228439	223.5472537016	140.3815184362	93.400909629	144.348984138	297.2553423766	562.8542394585	379.0132380171	85.0787189768	186.3999504485	222.302636969	354.2466365328	39.2661748295	52.9150604805	29.021601886	129.1323736191	27.3512954445	118.1704289512	44.9737199814	66.6584177781	109.5684859106	50.4051934295	221.8090374374	470.3662444348	210.773488078	127.8339562224	8.5974495169	168.2017657685	348.1308705175	354.7828065293
Amino acid metabolism| Lysine biosynthesis	232.4589007589	389.3048660567	276.1828903763	702.2231712245	259.1790173987	712.6821691771	238.5345974351	291.230041943	151.2484919888	239.1908247604	509.9682689281	365.7030130441	438.2724408224	325.7627889685	555.6372012874	510.4317643462	578.9027668074	460.8407482164	495.9684907309	139.5495960964	258.7888890964	976.72194202	309.4005533542	146.7037054523	258.369507514	117.3581212215	96.9940899134	191.34692331	252.1088672948	268.7023464566	40.9114351763	101.7238742808	40.5108599842	109.2813708779	146.5111968546	64.139823107	209.4044942892	654.6156024	340.2206605338	401.6796431391	377.8345830878	187.8004149703	176.999690737	508.7877424132	267.1805223679	405.1114942342	171.2606509335	279.0483610382	148.3722248638	568.2947857693	170.9889524377	358.895730034	243.0975856251	154.2905144959	248.8780939185	370.4671590434	528.7151324088	313.8566103413	109.6838303558	245.2868609633	208.5790578046	294.3163141318	77.0308052374	107.9914869338	58.9069399175	140.6052064986	51.7393706902	148.5393592738	61.0193490936	84.6829567132	112.980652854	73.1609726576	288.7937475307	399.0186597401	269.7034964373	196.4434814836	17.9567217686	242.3208231961	462.5856496405	407.6966884534
Amino acid metabolism| Lysine degradation	0	40.0663605568	32.7891193999	84.4536149072	30.9143016105	58.2782358646	32.4580462707	33.272916317	0	27.5987859829	76.2775501523	34.1648322148	60.7243563369	34.3457297277	78.2282813759	47.7258719964	64.0170445646	48.9415288825	69.1286335307	26.363412256	37.4633122028	166.6237655796	56.644181034	195.3917673551	31.9539458545	11.388896848	9.5234043382	0	54.0365901841	23.1229442666	0	13.5230191371	5.2081408994	11.4990165295	17.792002057	0	0	357.6603098442	0	47.7499981536	33.6082401583	25.0304704302	20.8393680808	46.0807297576	40.5833947166	44.2323100369	23.2752070423	34.6624200621	24.0948401142	71.2990011442	17.5093465966	68.5739785302	50.0000845303	0	37.0714523912	48.2041069216	59.3195866688	49.2209970576	13.3401430376	28.6996658662	25.7728850628	51.7759236748	0	0	0	12.177334006	0	21.2454297948	12.5225184494	0	10.7432126281	0	30.2164036944	49.0036711316	31.945366016	37.3525540851	9.7509978546	30.3314738781	70.0915135141	75.6688298837
Amino acid metabolism| Phenylalanine metabolism	29.2783300655	52.8643871294	44.0224403124	156.0979605326	40.355801835	125.4731936693	32.9354147467	59.3130731389	29.9649495069	29.2104320708	57.2908434199	84.4322181388	114.3276997287	50.2572246478	117.908580744	165.6184269896	113.3846266291	83.0519373946	76.118180975	21.5062626253	38.2462321228	168.1081251271	40.6569429958	72.4266604724	78.300804746	20.8693361846	20.1586271142	33.4635813576	80.4286298349	34.6674616376	4.6109519889	20.5358765713	5.1709543133	17.636528465	14.6752706642	0	14.4621417847	398.1602810724	50.3712594537	80.1647688697	80.6420464803	38.199207893	30.7766921005	127.5974989568	38.0067720645	83.5044833631	24.1262281599	48.4192693007	14.5414055054	143.4165908607	38.7605102518	51.1313856236	28.9938177784	12.5428833703	30.6738395975	68.7820856423	125.1609480061	104.3552859895	17.3772923735	45.427944979	50.3694025574	90.2309130383	15.2421894304	16.7913631116	8.6592244212	30.8556957922	10.4437554237	17.6003240026	9.493026216	15.2232054798	29.9619381685	9.9907450627	53.0515863543	113.7654711787	47.7977471483	44.9115412429	14.4623518052	50.8162636984	65.2789472504	59.6880065753
Amino acid metabolism| Phenylalanine, tyrosine and tryptophan biosynthesis	150.6422062177	237.8882521576	183.5317992712	498.9354904077	143.7376801143	478.7176915101	152.0948206918	215.0848682771	97.4804083266	132.733748941	212.5144220305	250.1142417397	329.0708515651	217.9302597995	385.1168203027	427.3169653756	400.9179530024	295.7938971	356.5427945387	93.0264076145	178.8674177712	745.8773065136	178.1903346618	132.8669079406	196.358498482	76.4749059304	63.206147227	116.1344404302	175.0081278496	178.6094118575	22.5995438273	73.9334486986	18.2443945576	77.2904709511	88.4281232449	38.1917473418	106.2051209291	561.8487355373	210.9568250059	253.2510889404	264.0960239425	119.9924255033	115.8281620533	356.2536029551	162.427922848	255.3511839141	95.6243856431	188.6878129167	73.6828448768	428.1089424724	111.9610967837	187.2898757822	106.9301466214	71.994927979	140.0450736157	220.0391997085	384.3237068788	242.2406176203	64.4340685161	163.2552281869	149.5584747319	226.7675201606	48.7031722736	68.9266512692	29.7605350055	87.7016082984	35.8070131194	87.7131108496	37.7235157008	61.247360373	74.9703979455	42.1085763478	180.7524787731	303.0401722556	158.5593740367	120.5626307263	16.1758588975	161.3582235037	256.0024462393	266.6016819578
