class,mechanism,group,count,sampleID
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,1,kazan5500_2016_05_31_HP_A_L03_168HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,5,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,4,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,3,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,7,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,51,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,1,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,1,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,4,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,1,kazan5500_2016_05_31_HP_A_L03_168HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,1,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Class A betalactamases,CEPA,142,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Class A betalactamases,CFX,256,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Class A betalactamases,TEM,2,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Penicillin binding protein,AMPH,3,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Penicillin binding protein,PBP2,1,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Penicillin binding protein,PBP2B,8,kazan5500_2016_05_31_HP_A_L03_168HP
betalactams,Penicillin binding protein,PBP4B,3,kazan5500_2016_05_31_HP_A_L03_168HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,1,kazan5500_2016_05_31_HP_A_L03_168HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,3,kazan5500_2016_05_31_HP_A_L03_168HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,1,kazan5500_2016_05_31_HP_A_L03_168HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,2,kazan5500_2016_05_31_HP_A_L03_168HP
Elfamycins,EF-Tu inhibition,TUFAB,134,kazan5500_2016_05_31_HP_A_L03_168HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,8,kazan5500_2016_05_31_HP_A_L03_168HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,8,kazan5500_2016_05_31_HP_A_L03_168HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,4,kazan5500_2016_05_31_HP_A_L03_168HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,3,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERM,55,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMB,759,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMF,2168,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMO,1,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMR,1,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMT,16,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,23S rRNA methyltransferases,ERMX,1,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,Lincosamide nucleotidyltransferases,LNUC,11,kazan5500_2016_05_31_HP_A_L03_168HP
MLS,Macrolide resistance efflux pumps,MEFA,25,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,4,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,ASMA,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,BAER,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,BAES,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,CPXA,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,CPXAR,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,CRP,3,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,EVGS,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,GADX,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,MARR,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,MDR regulator,PHOQ,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,ACRB,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,EMRA,3,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,5,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTH,3,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,3,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MDTP,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MEXE,1,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,MSBA,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,OQXB,8,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,PHOP,2,kazan5500_2016_05_31_HP_A_L03_168HP
Multi-drug resistance,Multi-drug efflux pumps,TOLC,1,kazan5500_2016_05_31_HP_A_L03_168HP
Phenicol,Chloramphenicol acetyltransferases,CAT,1190,kazan5500_2016_05_31_HP_A_L03_168HP
Phenicol,Chloramphenicol acetyltransferases,CATB,78,kazan5500_2016_05_31_HP_A_L03_168HP
Phenicol,Chloramphenicol acetyltransferases,CATP,208,kazan5500_2016_05_31_HP_A_L03_168HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,106,kazan5500_2016_05_31_HP_A_L03_168HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,2,kazan5500_2016_05_31_HP_A_L03_168HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,2,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,3919,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,1,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,2,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,873,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,808,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44,4,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,46,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,1718,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,2919,kazan5500_2016_05_31_HP_A_L03_168HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,2468,kazan5500_2016_05_31_HP_A_L03_168HP
Trimethoprim,Dihydrofolate reductase,DFRF,64,kazan5500_2016_05_31_HP_A_L03_168HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,1,kazan5500_2016_05_31_HP_A_L03_167HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,11,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,11,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,8,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,16,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,3,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,15,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,1,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,2,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,1,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,1,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,1,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,2,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6-PRIME,3,kazan5500_2016_05_31_HP_A_L03_167HP
Aminoglycosides,Aminoglycoside-resistant 30S ribosomal subunit protein S12,RPSL,1,kazan5500_2016_05_31_HP_A_L03_167HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,1,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Class A betalactamases,CEPA,172,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Class A betalactamases,CFX,221,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Class A betalactamases,CTX,14,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Class A betalactamases,TEM,11,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Class C betalactamases,BLAEC,6,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Penicillin binding protein,AMPH,3,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Penicillin binding protein,PBP2,7,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Penicillin binding protein,PBP2B,1,kazan5500_2016_05_31_HP_A_L03_167HP
betalactams,Penicillin binding protein,PBP4B,5,kazan5500_2016_05_31_HP_A_L03_167HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,6,kazan5500_2016_05_31_HP_A_L03_167HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,10,kazan5500_2016_05_31_HP_A_L03_167HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,6,kazan5500_2016_05_31_HP_A_L03_167HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,2,kazan5500_2016_05_31_HP_A_L03_167HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,6,kazan5500_2016_05_31_HP_A_L03_167HP
Elfamycins,EF-Tu inhibition,TUFAB,133,kazan5500_2016_05_31_HP_A_L03_167HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,26,kazan5500_2016_05_31_HP_A_L03_167HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,8,kazan5500_2016_05_31_HP_A_L03_167HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,19,kazan5500_2016_05_31_HP_A_L03_167HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,2,kazan5500_2016_05_31_HP_A_L03_167HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,3,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERM,4,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMB,146,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMF,152,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMG,1,kazan5500_2016_05_31_HP_A_L03_167HP
