	alien-11-0-0	alien-11-60-0	kazan5500_2015_05_26_1_L04_25HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_43HP_F3	kazan5500_2015_06_20_1_L01_50HP_F3	kazan5500_2015_06_20_1_L01_59HP_F3	kazan5500_2015_11_27_1_L02_58HP_F3	kazan5500_2015_11_27_1_L05_88HP_F3	kazan5500_2015_11_27_1_L06_98HP_F3	kazan5500_2015_12_11_L01_70HP_F3	kazan5500_2016_04_22_1_L01_115HP_F3	kazan5500_2016_04_22_1_L01_119HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_160HP_F3	kazan5500_2016_05_31_HP_A_L03_164HP_F3	scavenger-11-0-0
g000001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000003	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
g000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000012	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1
g000015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000022	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000026	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
g000027	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
g000029	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000030	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000032	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
g000033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g000034	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	0
g000035	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1
g000040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000050	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
g000051	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1
g000057	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000058	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
g000059	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
g000063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000064	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000065	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000067	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000072	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000073	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000080	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000081	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000082	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0
g000083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000084	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0
g000085	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
g000086	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0
g000087	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
g000088	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000097	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000098	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0
g000105	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
g000106	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
g000107	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
g000108	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0
g000109	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
g000110	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
g000112	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1
g000113	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1
g000115	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000124	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0
g000125	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0
g000126	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
g000133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000135	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
g000137	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
g000142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
g000148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
g000151	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000152	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
g000157	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1
g000160	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g000161	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
g000162	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
g000163	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
g000166	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1
g000167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000172	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0
g000173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000174	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
g000176	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1
g000177	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000178	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000179	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000180	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000181	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000182	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000183	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000184	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000185	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000186	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000187	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000188	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000189	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000190	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000191	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000192	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000193	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000195	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000196	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000197	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000201	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0
g000202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000203	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000204	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
g000205	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000206	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000208	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
g000209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000211	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000214	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
g000215	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1
g000216	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
g000217	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1
g000223	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000226	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000229	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
g000230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000231	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
g000236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000242	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0
g000243	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1
g000244	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000245	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1
g000246	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1
g000247	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
g000249	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1
g000250	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g000251	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0
g000252	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
g000253	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
g000257	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
g000258	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
g000259	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0
g000269	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
g000272	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0
g000277	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0
g000291	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000300	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000301	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
g000302	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
g000303	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1
g000304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
g000318	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000325	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000327	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
g000329	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000333	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
