,betalactams,MLS,Tetracyclines,Aminoglycosides,Multi-drug resistance,Phenicol,Bacitracin,Cationic antimicrobial peptides,Elfamycins,Fluoroquinolones,Rifampin,Trimethoprim,Sulfonamides,Lipopeptides
Kh_232,308379.888268156,67783.9851024208,623836.126629423,0,0,0,0,0,0,0,0,0,0,0
Kh_236,81805.0193050193,0,367760.617760618,16167.9536679537,479247.104247104,55019.305019305,0,0,0,0,0,0,0,0
Kh_240,78724.1262300645,0,262187.53534668,74312.8605361385,349507.974211062,2601.51566564868,11310.9376767334,54744.9383553897,58929.985295781,49768.125777627,38683.4068544282,19228.5940504468,0,0
Kh_242,0,0,916367.200261353,0,0,74158.7716432538,0,0,0,0,0,9474.02809539366,0,0
Kh_245,330225.563909774,0,669774.436090226,0,0,0,0,0,0,0,0,0,0,0
Kh_247,446616.541353383,0,553383.458646617,0,0,0,0,0,0,0,0,0,0,0
Kh_249,79612.6949973104,0,920387.30500269,0,0,0,0,0,0,0,0,0,0,0
Kh_250,442669.942669943,91728.0917280917,465601.965601966,0,0,0,0,0,0,0,0,0,0,0
NOV_280,64250.2258355917,0,308265.582655827,114159.891598916,399728.997289973,0,0,58378.5004516712,25519.4218608853,23599.8193315266,0,0,6097.56097560976,0
NOV_281,24957.6988155668,0,909686.971235195,65355.3299492386,0,0,0,0,0,0,0,0,0,0
NOV_282,0,0,915103.189493433,0,0,84896.8105065666,0,0,0,0,0,0,0,0
NOV_283,62949.2388053038,0,19107.9958926738,108531.630876378,567748.560203581,0,17634.7158355284,114692.620206259,30849.5914996205,57815.0810304031,16206.0806285995,0,4464.48502165275,0
NOV_284,26764.7058823529,0,973235.294117647,0,0,0,0,0,0,0,0,0,0,0
NOV_286,489648.96489649,0,510351.03510351,0,0,0,0,0,0,0,0,0,0,0
NOV_287,127946.127946128,203535.353535354,661952.861952862,0,0,0,0,0,0,0,0,6565.65656565657,0,0
OM_176,117281.179865341,4232.12568130811,817762.103238217,14235.3318371273,22827.8294325104,4809.23372875922,0,8464.25136261622,0,0,0,10387.9448541199,0,0
OM_178,0,0,942008.486562942,24516.7373880245,0,29467.2324375295,0,0,0,0,0,4007.54361150401,0,0
OM_179,0,515.477203020696,995180.288151757,3067.08935797314,0,1237.14528724967,0,0,0,0,0,0,0,0
OM_180,406835.443037975,11265.8227848101,581898.734177215,0,0,0,0,0,0,0,0,0,0,0
OM_181,206289.978678038,0,726012.793176972,0,0,67697.2281449893,0,0,0,0,0,0,0,0
OM_182,141411.403270986,24577.5729646697,687900.966838348,54486.3106532936,0,10933.4056203126,0,0,0,0,0,80690.34065239,0,0
OM_184,182425.213675214,0,755341.88034188,0,0,31250,0,0,0,0,0,30982.905982906,0,0
OM_185,82693.1135633468,0,130884.201704149,158541.695767565,407319.458024864,0,15924.0117334823,119849.140941472,47213.2979466406,37575.0803184802,0,0,0,0
OM_190,255597.014925373,62500,681902.985074627,0,0,0,0,0,0,0,0,0,0,0
OM_191,170644.391408115,0,829355.608591885,0,0,0,0,0,0,0,0,0,0,0
OM_192,228940.568475452,31007.7519379845,726098.19121447,0,0,0,0,0,0,0,0,13953.488372093,0,0
OM_193,300542.495479204,71609.4032549729,627848.101265823,0,0,0,0,0,0,0,0,0,0,0
OM_194,219059.405940594,0,763613.861386139,0,0,17326.7326732673,0,0,0,0,0,0,0,0
OM_195,426395.939086294,0,573604.060913706,0,0,0,0,0,0,0,0,0,0,0
OMS_251,103470.85789129,27317.8033492375,703994.760969221,43596.2204135092,19927.027785574,9261.85798484423,0,8045.65441107681,8887.6415006081,15997.7547010946,30872.8599494808,12162.0357376742,0,16465.5253063897
RND_301,106728.248658095,37323.6799400824,824616.152789914,9362.1270752715,0,14979.4033204344,0,0,0,0,0,6990.38821620272,0,0
RND_304,24481.1932555123,0,900453.955901427,71173.8002594034,0,0,0,0,0,0,0,3891.05058365759,0,0
RND_305,194691.495275153,595608.671484158,198026.681489716,0,0,7226.23679822123,0,0,0,0,0,4446.91495275153,0,0
RND_306,48415.2732717744,50661.3426503619,881207.886199152,0,0,14973.7958572498,0,0,0,0,0,4741.70202146244,0,0
RND_307,14703.3680971106,0,838091.981535305,140194.905111985,0,0,0,0,0,0,0,7009.74525559925,0,0
RND_308,83793.331861338,94943.6961801722,805586.222124089,0,0,0,0,0,0,0,0,15676.7498344005,0,0
RND_311,190634.814885315,104692.11002189,697154.278100314,0,0,0,0,0,0,0,0,7518.7969924812,0,0
RND_312,11522.9168458165,5503.48267262877,975664.28755697,0,0,0,0,0,0,0,0,7309.31292458509,0,0
RND_313,79960.8355091384,0,910574.412532637,0,0,9464.75195822454,0,0,0,0,0,0,0,0
RND_314,88818.8392360467,0,892267.75449657,12238.0864083071,0,6675.31985907658,0,0,0,0,0,0,0,0
RND_315,103610.675039246,0,850340.136054422,46049.1889063318,0,0,0,0,0,0,0,0,0,0
RND_316,15242.3360164412,0,980133.584517897,0,0,4624.07946566193,0,0,0,0,0,0,0,0
RND_317,9917.92065663475,0,963064.295485636,0,0,27017.7838577291,0,0,0,0,0,0,0,0
SAR_263,190520.160049246,0,809479.839950754,0,0,0,0,0,0,0,0,0,0,0
SAR_264,0,0,967073.170731707,0,0,32926.8292682927,0,0,0,0,0,0,0,0
SAR_265,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0
SAR_266,0,0,914005.386687187,0,0,76567.910734898,0,0,0,0,0,9426.70257791458,0,0
SAR_267,63617.1439554103,3267.34576206035,913703.6325197,0,0,19411.8777628291,0,0,0,0,0,0,0,0
SAR_268,6540.30966364122,0,981313.400961025,0,0,9343.29951948745,0,0,0,0,0,2802.98985584624,0,0
SAR_269,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0
SAR_270,0,0,973115.247226922,0,0,14852.4158676443,0,0,0,0,0,12032.3369054334,0,0
SAR_271,65340.0188028831,0,660607.959887183,16922.594797869,0,257129.426512065,0,0,0,0,0,0,0,0
SAR_272,0,0,989886.731391586,0,0,0,0,0,0,0,0,10113.2686084142,0,0
SAR_273,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0
SAR_274,0,19244.4761225944,964005.702066999,0,0,11404.1339985745,0,0,0,0,0,5345.68781183179,0,0
SAR_275,0,0,980703.745743473,0,0,19296.2542565267,0,0,0,0,0,0,0,0
SAR_276,198938.99204244,7957.55968169761,694144.052234238,0,0,98959.3960416242,0,0,0,0,0,0,0,0
Spb_100_40P,197125.472093999,0,797104.490138481,0,0,5770.03776751993,0,0,0,0,0,0,0,0
Spb_101_41P,196561.790463834,0,803438.209536166,0,0,0,0,0,0,0,0,0,0,0
Spb_103_43P,126021.180030257,163237.518910741,701361.573373676,2723.1467473525,0,6656.58093797277,0,0,0,0,0,0,0,0
Spb_105_45P,28439.9832705981,29276.4533667921,817649.519029695,4879.40889446536,67475.2544263209,12547.0514429109,0,23142.3393280357,10874.1112505228,0,0,5715.87899065942,0,0
Spb_106_46P,24536.53217012,3680.47982551799,944520.174482007,6679.3893129771,4362.05016357688,16221.3740458015,0,0,0,0,0,0,0,0
Spb_61_1P,241244.374877715,7043.63138329094,746820.583056153,0,0,0,0,0,0,0,0,4891.41068284093,0,0
Spb_66_6P,246158.770806658,30943.2351685873,722897.994024755,0,0,0,0,0,0,0,0,0,0,0
Spb_69_9P,405356.68297708,7983.51789853206,575328.354365182,0,0,0,0,0,0,0,0,11331.4447592068,0,0
Spb_70_10P,298574.10341351,18723.8945700706,679677.372893562,3024.62912285755,0,0,0,0,0,0,0,0,0,0
Spb_72_12P,0,0,969943.820224719,0,0,16292.1348314607,0,0,0,0,0,13764.0449438202,0,0
Spb_73_13P,127122.895019706,0,262343.246148334,82551.0569688284,381583.661769975,0,9100.68075958438,69079.1830884988,18416.3382300251,42565.3887495521,0,3224.65066284486,4012.89860265138,0
