org	genus	family	order	class	phylum
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes
Acidaminococcus_sp_D21	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes
Acinetobacter_baumannii_ATCC_17978	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_haemolyticus_ATCC_19194	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_junii_SH205	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_oleivorans_DR1	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_radioresistens_SK82	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_sp_ADP1	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_sp_RUH2624	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter_sp_SH024	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Actinobacillus_succinogenes_130Z	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
Actinomyces_odontolyticus_ATCC_17982	Actinomyces	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria
Actinomyces_sp_oral_taxon_848_str_F0332_A	Actinomyces	Actinomyces	Actinomycetaceae	Actinomycetales	Actinobacteria
Adlercreutzia_equolifaciens_DSM_19450	Adlercreutzia	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
Aeromonas_hydrophila_SSU	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria
Aeromonas_veronii_AMC34	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria
Aggregatibacter_segnis_ATCC_33393	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia
Alistipes_indistinctus_YIT_12060	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Alistipes_onderdonkii_DSM_19147	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Alistipes_putredinis_DSM_17216	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Alistipes_shahii_WAL_8301	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Anaerobaculum_hydrogeniformans_ATCC_BAA_1850	Anaerobaculum	Synergistaceae	Synergistales	Synergistia	Synergistetes
Anaerococcus_hydrogenalis_DSM_7454	Anaerococcus	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Anaerococcus_lactolyticus_ATCC_51172	Anaerococcus	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Anaerococcus_tetradius_ATCC_35098	Anaerococcus	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Anaerococcus_vaginalis_ATCC_51170	Anaerococcus	Clostridiales_Family_XI._Incertae_Sedis	Clostridiales	Clostridia	Firmicutes
Anaerofustis_stercorihominis_DSM_17244	Anaerofustis	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes
Anaerostipes_caccae_DSM_14662	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Anaerostipes_hadrus_DSM_3319	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Anaerotruncus_colihominis_DSM_17241	Anaerotruncus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes
Arcobacter_butzleri_RM4018	Arcobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria
Bacillus_alcalophilus_ATCC_27647	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
Bacillus_halodurans_C_125	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
Bacillus_smithii_7_3_47FAA	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
Bacillus_sp_7_6_55CFAA_CT2	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
Bacteroides_caccae_ATCC_43185	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_cellulosilyticus_DSM_14838	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_clarus_YIT_12056	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_coprocola_DSM_17136	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_coprophilus_DSM_18228	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_dorei_5_1_36_D4	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_eggerthii_1_2_48FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_finegoldii_DSM_17565	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_fluxus_YIT_12057	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_fragilis_3_1_12	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_fragilis_638R_genome	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_intestinalis_DSM_17393	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_oleiciplenus_YIT_12058	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_ovatus_3_8_47FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_ovatus_ATCC_8483	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_ovatus_SD_CMC	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_pectinophilus_ATCC_43243	Lachnospiraceae	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes
Bacteroides_plebeius_DSM_17135	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_sp_3_1_23	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_sp_D2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_stercoris_ATCC_43183	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
Bacteroides_uniformis_ATCC_8492	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes
