"name" "rpkm" "sample"
"4" "885275.i14_2241" 30562.3471882641 "168HP"
"12" "MH0121_GL0043134" 44045.1021846371 "168HP"
"58" "N043A_GL0038371" 89702.1887334051 "168HP"
"267" "199310.c0680" 157828.282828283 "168HP"
"288" "754092.SFJ1713_4754" 166666.666666667 "168HP"
"1296" "MH0121_GL0043134" 8883.04581875033 "167HP"
"15" "926029.ECO7815_17577" 2963.10343601475 "167HP"
"19" "405955.APECO1_1463" 6271.16518249091 "167HP"
"27" "T2D-109A_GL0008490" 3267.24780114223 "167HP"
"28" "198214.SF0498" 4369.92269606751 "167HP"
"5889" "N043A_GL0038371" 27136.7965916184 "167HP"
"73" "656383.EREG_03241" 13597.6720785402 "167HP"
"93" "MH0025_GL0024003" 23054.4892854261 "167HP"
"102" "DOF004_GL0030086" 25607.9928455208 "167HP"
"125" "511145.b4494" 13254.5131617316 "167HP"
"155" "T2D-76A_GL0041996" 22670.9388791488 "167HP"
"156" "V1.UC38-4_GL0023757" 17728.6104315144 "167HP"
"157" "SZEY-81A_GL0083339" 20261.2690645879 "167HP"
"168" "MH0287_GL0022599" 7809.81537596451 "167HP"
"191" "MH0264_GL0002674" 11249.4797115633 "167HP"
"256" "O2.CD1-0-PT_GL0036567" 13798.6228974348 "167HP"
"257" "670893.ECEPECA14_4498" 10348.9671730761 "167HP"
"285" "585054.EFER_1094" 11174.6826390131 "167HP"
"28869" "754092.SFJ1713_4754" 44817.9271708684 "167HP"
"289" "MH0095_GL0050443" 11234.4403001842 "167HP"
"304" "V1.UC3-2_GL0016222" 15648.7175875937 "167HP"
"353" "SZEY-10A_GL0084952" 12655.6646755088 "167HP"
"362" "O2.CD1-0-PT_GL0116318" 17080.0027328004 "167HP"
"363" "888828.HMPREF9417_0419" 25620.0040992007 "167HP"
"375" "MH0350_GL0090106" 17398.2636532874 "167HP"
"380" "MH0234_GL0015301" 26260.5042016807 "167HP"
"422" "MH0425_GL0148624" 22884.9709818568 "167HP"
"441" "MH0341_GL0069323" 14340.2070725901 "167HP"
"446" "T2D-48A_GL0045471" 23982.1956179732 "167HP"
"477" "MH0425_GL0019855" 25464.7313470843 "167HP"
"478" "656419.ECJG_00018" 20371.7850776674 "167HP"
"481" "T2D-76A_GL0088475" 15447.3554127533 "167HP"
"484" "MH0341_GL0077813" 15561.7802676626 "167HP"
"511" "N040A_GL0070366" 21220.6094559036 "167HP"
"560" "MH0351_GL0081105" 33884.5215505557 "167HP"
"564" "754092.SFJ1713_4721" 34160.0054656009 "167HP"
"568" "T2D-107A_GL0170309" 22960.0036736006 "167HP"
"592" "NOM018_GL0051177" 30054.9404311081 "167HP"
"615" "405955.APECO1_2115" 31686.8828979556 "167HP"
"652" "MH0397_GL0078261" 54923.9303564563 "167HP"
"812" "SZEY-73A_GL0001051" 35014.0056022409 "167HP"
"838" "945360.SGF_03545" 27642.6360017691 "167HP"
"1" "656390.ERLG_02458" 3332.57443442099 "164HP"
"4153" "885275.i14_2241" 2768.99382024739 "164HP"
"5" "O2.CD1-0-PT_GL0059073" 6681.74502488119 "164HP"
"6" "1006551.KOX_20630" 101.902613506519 "164HP"
"7" "1033813.ECNA114_2046" 2156.79656859828 "164HP"
"11" "945434.ECoL_01541" 1261.74006669655 "164HP"
"1290" "MH0121_GL0043134" 6959.1322283302 "164HP"
"13" "MH0308_GL0030179" 973.991599712049 "164HP"
"14" "216592.EC042_0333" 925.292019726447 "164HP"
"1588" "926029.ECO7815_17577" 1558.38655953928 "164HP"
"16" "MH0093_GL0027644" 925.945013388921 "164HP"
"1961" "405955.APECO1_1463" 2009.83893459984 "164HP"
"26" "585054.EFER_2508" 853.860951092232 "164HP"
"28101" "198214.SF0498" 3016.48693252474 "164HP"
"37" "MH0277_GL0026573" 2627.13060291897 "164HP"
"39" "O2.CD1-0-PT_GL0093058" 5723.22076701473 "164HP"
"41" "T2D-14A_GL0070332" 761.647107568944 "164HP"
"44" "544875.EfmE1636_1714" 5519.34607814521 "164HP"
"46" "O2.CD1-0-PT_GL0031579" 3918.52676241362 "164HP"
"5888" "N043A_GL0038371" 5798.0283581567 "164HP"
"66" "MH0315_GL0094431" 11291.1476420647 "164HP"
"68" "MH0204_GL0185212" 328.057028121541 "164HP"
"7380" "656383.EREG_03241" 5447.37898940896 "164HP"
"79" "550677.ECEG_03383" 767.288937995381 "164HP"
"87" "MH0277_GL0006277" 1392.25815362065 "164HP"
"91" "MH0266_GL0161504" 282.245249671325 "164HP"
"9375" "MH0025_GL0024003" 16671.9571712577 "164HP"
"99" "MH0277_GL0046651" 4973.56264517782 "164HP"
"100" "DLM012_GL0026195" 5356.14438711457 "164HP"
"10243" "DOF004_GL0030086" 8061.39010805274 "164HP"
"104" "199310.c2426" 1167.14373666903 "164HP"
"112" "O2.CD1-0-PT_GL0015154" 2237.45522419861 "164HP"
"115" "MH0014_GL0016573" 5635.13389180584 "164HP"
"120" "333849.EfaeDRAFT_0418" 5432.54497703235 "164HP"
"122" "941429.SDB_03929" 1161.49242907558 "164HP"
"123" "MH0277_GL0026575" 3878.34034181753 "164HP"
"12564" "511145.b4494" 18298.7519597637 "164HP"
"126" "656420.ERJG_00170" 436.37285573197 "164HP"
"127" "O2.CD1-0-PT_GL0047198" 3848.66266669658 "164HP"
"129" "DLM013_GL0070714" 674.814375435677 "164HP"
"130" "199310.c2421" 2943.370680179 "164HP"
"132" "MH0014_GL0063410" 6779.20842055819 "164HP"
"153" "SZEY-48A_GL0031505" 9174.40633222484 "164HP"
"160" "MH0014_GL0114265" 3127.53643204639 "164HP"
