variable,phyla,value,point_number
100HP,Bacteroidetes,0.00166,2
100HP,Bacteroidetes,0.07992,2
100HP,Bacteroidetes,5.02996,2
100HP,Bacteroidetes,0.22064,2
100HP,Bacteroidetes,0.00163,2
100HP,Bacteroidetes,0.00124,2
100HP,Bacteroidetes,9.85539,2
100HP,Bacteroidetes,1.72277,2
100HP,Bacteroidetes,0.00112,2
100HP,Bacteroidetes,6.42454,2
100HP,Bacteroidetes,16.99476,2
100HP,Bacteroidetes,0.04991,2
100HP,Bacteroidetes,0.0159,2
100HP,Actinobacteria,0.08746,2
100HP,Firmicutes,0.06611,2
100HP,Firmicutes,0.1923,2
100HP,Firmicutes,0.0748,2
100HP,Firmicutes,0.00615,2
100HP,Firmicutes,0.04803,2
100HP,Firmicutes,8.06689,2
100HP,Firmicutes,0.01231,2
100HP,Firmicutes,1.39443,2
100HP,Firmicutes,0.27503,2
100HP,Firmicutes,0.71263,2
100HP,Firmicutes,22.85973,2
100HP,Firmicutes,0.03339,2
100HP,Proteobacteria,0.15741,2
100HP,Firmicutes,0.34335,2
100HP,Firmicutes,0.33931,2
100HP,Firmicutes,0.01098,2
100HP,Firmicutes,0.00171,2
100HP,Firmicutes,0.02035,2
100HP,Bacteroidetes,0.31386,2
100HP,Bacteroidetes,10.05929,2
100HP,Firmicutes,0.53548,2
100HP,Firmicutes,3.81501,2
100HP,Firmicutes,1.81979,2
100HP,Firmicutes,0.10751,2
100HP,Firmicutes,0.74955,2
100HP,Firmicutes,3.15216,2
100HP,Firmicutes,4.17276,2
101HP,Verrucomicrobia,0.34033,1
101HP,Bacteroidetes,0.05387,1
101HP,Bacteroidetes,0.01552,1
101HP,Bacteroidetes,0.31336,1
101HP,Bacteroidetes,0.01579,1
101HP,Bacteroidetes,0.10983,1
101HP,Bacteroidetes,0.14214,1
101HP,Bacteroidetes,0.1235,1
101HP,Bacteroidetes,4.57591,1
101HP,Bacteroidetes,0.1957,1
101HP,Bacteroidetes,0.12138,1
101HP,Bacteroidetes,0.01034,1
101HP,Bacteroidetes,0.05861,1
101HP,Bacteroidetes,0.33353,1
101HP,Bacteroidetes,0.23228,1
101HP,Bacteroidetes,0.00286,1
101HP,Bacteroidetes,0.11363,1
101HP,Bacteroidetes,1.22733,1
101HP,Bacteroidetes,1.67869,1
101HP,Bacteroidetes,0.18386,1
101HP,Actinobacteria,0.57674,1
101HP,Firmicutes,0.01034,1
101HP,Firmicutes,0.45256,1
101HP,Firmicutes,0.0486,1
101HP,Firmicutes,0.68045,1
101HP,Actinobacteria,0.12981,1
101HP,Firmicutes,0.00513,1
101HP,Firmicutes,0.25414,1
101HP,Firmicutes,0.19591,1
101HP,Firmicutes,0.25784,1
101HP,Firmicutes,0.26351,1
101HP,Firmicutes,0.1238,1
101HP,Proteobacteria,4.26077,1
101HP,Firmicutes,0.37324,1
101HP,Firmicutes,0.45117,1
101HP,Firmicutes,0.03173,1
101HP,Firmicutes,10.29176,1
101HP,Firmicutes,0.19831,1
101HP,Firmicutes,0.69542,1
101HP,Firmicutes,12.61237,1
101HP,Proteobacteria,0.01126,1
101HP,Proteobacteria,0.02904,1
101HP,Firmicutes,0.13831,1
101HP,Firmicutes,0.3108,1
101HP,Firmicutes,0.00936,1
101HP,Firmicutes,1.02287,1
101HP,Euryarchaeota,0.28718,1
101HP,Euryarchaeota,0.1467,1
101HP,Firmicutes,1.91967,1
101HP,Bacteroidetes,0.12279,1
101HP,Bacteroidetes,0.9773,1
101HP,Bacteroidetes,1.0937,1
101HP,Bacteroidetes,0.63131,1
101HP,Bacteroidetes,1.73214,1
101HP,Bacteroidetes,0.01081,1
101HP,Firmicutes,0.77444,1
101HP,Firmicutes,0.67989,1
101HP,Firmicutes,0.18316,1
101HP,Firmicutes,0.791,1
101HP,Firmicutes,0.67773,1
101HP,Firmicutes,0.67718,1
101HP,Firmicutes,0.18681,1
101HP,Firmicutes,1.01064,1
101HP,Firmicutes,0.00229,1
101HP,Firmicutes,0.05259,1
101HP,Firmicutes,0.01487,1
101HP,Firmicutes,4.95213,1
101HP,Firmicutes,0.00222,1
102HP,Bacteroidetes,0.08208,2
102HP,Bacteroidetes,0.23363,2
102HP,Bacteroidetes,0.08771,2
102HP,Bacteroidetes,1.30801,2
102HP,Bacteroidetes,0.1475,2
102HP,Bacteroidetes,0.48132,2
102HP,Bacteroidetes,3.34449,2
102HP,Bacteroidetes,0.16977,2
