Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
ko00010	197.4749835439	151.5221966062	437.0571532429	109.6514055071	52.9748054671	119.7289582517	150.2356342482	517.9332855292	278.6542041311	419.5419273348	78.3441242587	96.3092412941	57.7058766476	63.8909789044	242.9309398412	225.6432859393	46.7778752386	220.1419513256	269.9245290178	379.5421773904	437.684836758	253.7773603825	186.7839060796	208.1966577374	441.7244471263	346.9183696914	430.7046309636	263.1431740832	503.3906518054	266.1241820528	461.4591732206	489.1918905104	367.1024483685	456.3690696468	175.8675392985	151.9558563906	209.8754243219	767.9575093874	316.7567503045	47.6251506759	110.2094416441	290.1877294231	199.6019304218	232.5054656061	95.314064051	91.7494651279	153.6818633502	1070.44823152	257.9668806585	224.9358943208	40.3700418831	97.7101837399	95.5022139016	271.1014738137	61.3408348436	101.1877446278	195.2094766824	194.0226392363	773.180849352	301.7220633702	83.1119786222	72.290595436	247.213361696	359.1039201617	157.9385694694	237.9937051499	136.1927536175	528.6729845337	164.6325089798	377.9197707666	252.929156294	145.4489816419	222.5156521467	227.4419307013	316.6438942593	480.802040582	350.4441844487	397.4807490411	152.8078971267
ko00030	225.9404228125	198.0429165914	625.4058234599	117.4721966607	58.2966736241	164.0144062025	168.4117561349	758.7241220442	337.2629071677	552.3420735907	98.1283931646	138.1076430762	68.183022515	78.9224829156	301.7841569858	243.5845989148	54.0960011447	245.0976705762	275.2777015948	527.1167612346	543.1012851565	285.4931369295	247.4386547408	245.311021339	626.0654914515	445.5874833308	572.4420145324	345.7975098542	631.2290353284	376.4088444732	640.3087028375	593.731020565	438.7308964147	569.3569591662	254.7001251536	171.5976237607	284.2794244386	1095.0919382138	415.9454606731	57.5702114459	135.22568046	277.1891782742	249.922646725	319.6987663597	124.8356948391	119.6824821308	179.4573211792	1311.0939932358	331.3564930358	261.5351567223	53.5917089786	130.9815658222	144.414056007	322.2863851896	65.2556912227	123.0391444948	251.7548293759	267.6619744406	972.4753444592	401.2035534525	82.4586778354	75.1825523957	297.7255329232	494.8416138709	185.3748040135	269.2492039993	175.5106073754	732.835819879	215.5761364851	433.686933291	299.9458621392	164.8703088767	257.6251470568	252.2919006116	426.6179518486	655.7053676014	452.5016858514	472.1306601469	167.2604672018
ko00040	122.0887658994	87.980710622	451.7473106643	74.3909737761	37.9773143651	77.400295293	75.4531734768	372.8553342379	180.99267773	351.630912407	54.2380969659	89.6210852864	36.1268451716	35.9573064532	148.7665830196	93.2470312805	28.342091613	103.6250309453	173.0643725579	282.9944896576	215.5859072504	230.0764215222	75.8092731183	120.825637805	200.2473618011	289.8828536166	388.3872947926	117.2186333689	419.6376587734	120.0447150037	513.8922612663	407.6859161437	292.9546668424	179.124144306	71.6530137069	80.1622221019	114.446180642	304.0042056112	224.1353979123	31.8203637015	66.1402074385	153.8553135414	51.4804934384	259.9943822182	62.87592878	65.3391156407	119.09690029	778.2206244188	171.4707541855	98.2563449083	22.1348200216	52.6490560892	49.6960649821	158.5676755345	29.9425109223	53.4310320676	185.237321534	148.1449308258	617.804256437	271.1358199406	46.9711457754	42.8623225468	133.4881798542	317.7266022442	120.755034523	203.6334834631	95.6589496549	492.5697307931	122.9196097635	283.0466076985	120.0564815361	65.4960424994	120.7026991217	132.1236227243	246.0062194832	419.6190603302	250.0079844657	308.3333463846	88.1395454279
ko00051	158.7215395186	124.6191239644	460.0524151908	80.2876653517	49.2815033271	102.2164300823	109.7768617157	466.6013092621	263.3227056163	405.3695561428	59.407574906	95.9528035504	48.6002478175	50.258887507	191.0090484599	164.0724984188	46.1420194205	160.4402350118	213.5483817122	302.8815061719	352.4102058838	238.6846360458	138.6947831031	157.965739449	307.9363441275	329.4265539604	464.7495200301	208.0851286561	479.5985991253	218.5899709529	515.192346142	451.5313600238	322.5029962422	341.3369385967	154.6778851982	115.1147514538	162.0377470992	679.6818963008	264.2286531259	35.9842027359	90.1240867167	327.9538610735	136.3878573571	258.4966654314	79.7577333237	80.1299039374	127.9177329221	1060.4124889325	238.4010897198	155.5450159673	31.1140742394	82.9998207261	79.3432534151	216.3782440308	43.9479697042	77.6974177432	166.8435023332	185.1232531276	930.3566969962	316.8481633642	59.9814448198	50.4634944861	198.1512477441	338.5435447641	122.6720556837	199.2259942529	104.5893311777	581.5200361001	150.2564614683	326.7978796678	158.3922792101	90.1929559862	167.2351280465	167.7977693552	280.2106088564	488.9249228492	314.2626942263	382.7155052529	118.5322452785
ko00052	127.2913396999	99.9021773653	395.0598379958	56.6658623173	29.3430443114	92.2537480634	85.943418318	417.1149536988	198.8312082161	374.6703783168	47.0247286566	78.051446696	31.3497825874	35.7324332531	156.2222934011	137.8512500595	39.3747797799	144.0970347578	159.1234487387	272.6715176666	319.4355318168	173.359434715	124.7368824827	118.0690596069	293.5973994295	288.3830916667	371.6113964565	188.365126308	420.3589082472	201.7947084541	308.8426684101	401.7697792141	274.5751709564	296.8469948257	161.5910332259	90.5221271618	129.7378304368	689.5148493101	211.7641173995	27.9371839466	76.4487437961	245.3414160706	110.1273493703	210.5151118976	73.5569206452	66.7471009508	105.7077459856	1003.9457209406	217.3222774781	143.1369518146	27.522202132	73.9771020348	85.5201102331	174.1530363426	32.4584140145	61.5273836617	135.6959256532	144.6596685978	741.6674712804	253.7477289777	42.9297223772	34.7797138571	156.1427668044	282.7063244232	98.9463085342	166.1257064392	81.7441616776	503.5784579247	114.0667805693	248.0828259307	134.5540263474	71.1711192079	127.4432744188	116.3006270083	239.1604458984	418.9690315093	285.4094381465	338.3686582328	87.950661076
ko00053	41.169318471	20.829724613	72.7373412417	22.9972821039	19.4902392471	12.6647641167	27.917259465	52.034039355	36.9502286094	80.77514933	12.7281634613	16.3355048905	0	10.088893953	34.3385894653	39.0013674084	21.2755351935	53.6645536081	50.0565710964	64.274906884	63.102355946	98.3189184992	14.9149845652	40.7277443259	62.3237459472	52.9665781115	104.582773934	30.6962881028	115.7652633798	20.933138111	203.4256553928	96.0861241253	59.1485983584	51.6944239904	14.538956396	24.8563355754	20.3747011308	130.2650763285	38.602063869	10.6330372326	21.9479864858	123.2679578212	17.1445116018	60.6496155102	10.2456335349	12.9592780211	30.9822464805	668.4020244297	73.0035578706	22.1081329613	5.8676355348	10.8827111757	13.1573444401	45.7804221036	12.2617567566	14.4598710265	52.4105239703	37.8185318973	172.3889362711	63.3990473441	17.6780843702	14.3351119987	28.8940355407	50.9772132393	37.2389387479	71.923771783	31.4474404063	78.4516013247	19.8986017506	75.3204477285	48.9315505654	0	34.7113724177	41.6276355107	67.6972103659	115.1053096021	50.4590019374	80.3767042968	32.4708718154
ko00061	155.7531284253	132.3855975336	536.9569389463	88.863013503	41.2124077198	102.7535878013	120.9405204759	589.1314159855	257.2430168651	390.1356366159	75.8307407099	100.9067912951	56.0921124875	54.2772433232	192.7850637545	135.41734565	24.0502336575	171.6002642204	206.6979498943	326.6771221328	298.2227841373	249.4063634795	153.9410970228	176.1869938369	310.8710660831	353.4011259043	383.359751254	219.8557692788	453.8511006698	218.6754966813	413.797755127	473.7907034265	352.765640015	348.402632475	155.9440204962	100.4466337642	201.7885588027	695.2235193502	228.1652832334	30.9196930214	91.7990393386	212.8388592204	109.8927242768	224.9383778039	88.6005843393	78.2990368006	135.7675656643	700.9166629863	205.3448920764	141.6697606509	30.118870272	77.1922291011	86.6083692124	249.1599074052	41.3406549627	80.8966232918	254.4922341139	186.1780017364	754.0945398432	262.8345282584	59.3525712909	45.2486860919	209.3197172505	388.3917073324	129.2175256457	223.9482117374	88.8062413244	550.9530927639	161.2484940785	319.585055977	137.15628276	108.5981845967	170.4659446293	146.0323431866	287.2341718495	479.2587753116	340.468201786	351.890508004	117.9448041179
ko00071	50.0538725614	45.9305827452	129.5862379372	15.6358088969	8.0803698356	37.0188067038	46.033687042	131.8949733719	69.2803361792	112.9504380356	20.3094389907	35.4806385831	9.4134075099	24.3043327427	60.459090582	57.3898734034	21.7785001771	64.3933681426	85.4465057149	100.3151757665	125.2954633249	49.0264344888	46.4111764446	43.5439585283	142.5148431107	93.3476902622	115.6026405279	57.8180065954	108.2775985438	58.4647569184	107.7124710828	103.5553523781	0	90.6350958676	46.9840777071	46.6073260059	71.0655728656	195.8919883863	93.8419157902	10.8575573421	25.1072323359	112.5901503104	73.0309886773	0	26.9135917652	21.8232536508	25.225145608	443.52479298	79.1579511119	60.0878407044	11.3654819973	22.5960528722	25.474685766	55.1991141014	8.1780062635	26.9979404286	47.2199671809	50.6496553701	185.3654608844	89.2040384461	16.4744733512	12.7264266849	77.4386008776	107.102400602	40.6350025214	44.1971894691	38.5493274282	162.5668679307	43.876296429	80.3905243197	76.6234950146	51.0259461694	67.629455285	54.411057345	113.3295381461	122.3388024833	84.8318426716	150.9649178318	27.0178264236
ko00121	431.6618826463	567.4616540239	1112.4634988063	124.32388737	82.614832848	321.0107783564	322.5027758228	1390.7163306448	703.3492985726	941.8528376555	255.8221465887	341.7422502981	190.6260751369	309.1987158217	790.1689057517	589.4736662644	0	325.6237397145	190.107875926	1308.0663745153	1016.0656217242	303.0358411029	368.2389671245	521.2690218531	1367.6689766767	769.4664113187	822.5423604397	536.8056990922	755.1699254318	583.9586560255	972.249259153	676.2051737973	458.9711012591	1059.461288429	365.1708535408	582.7481347619	732.0421235427	1481.1713274241	599.9559451454	113.4920712922	285.074378339	55.3329894614	476.7811012104	554.7043545493	238.6583687234	267.2951479113	178.3171123786	264.3680940367	527.5531418784	839.288173075	191.5016841124	272.6298674516	185.804371847	326.6746370446	130.2765163989	325.1465303323	326.4736224383	515.9844820331	1805.5553373296	703.7546194231	122.2602222213	111.8914734212	481.0362871307	814.1274210018	855.9113218477	376.194728468	291.6938034902	1506.7308886203	348.8166774033	559.1451863914	801.6832801556	1175.2937359263	755.9245095108	1274.1630215302	920.5291462897	1040.2109568292	799.5107826614	779.7938008564	159.2482103432
ko00130	34.6858096433	20.2353022113	129.9365785558	11.5942666098	4.0149153236	19.2540855421	4.7193265114	94.5039232294	29.9154107866	110.7710075202	7.1333192549	21.5826816871	1.8892353088	10.2700978569	34.8177691261	21.755220391	18.1195319419	33.3851199256	53.1216787596	50.7502523875	63.3317040439	60.4632674928	13.5585245528	21.2514302935	24.2707672228	82.1852396691	98.526972839	33.1880470237	135.7044426966	25.972055197	68.7248806724	141.5776025158	89.3922783314	54.6742612146	22.264392741	17.30883327	14.4200325358	131.5029528121	36.0201872024	0.9654804435	18.4747836906	105.6896449533	10.5349255504	72.4732470153	15.8001366792	17.4558689676	29.1460899714	517.5809566225	75.4608542602	33.5048820772	1.1881589464	8.7576551912	8.7016876465	37.4705067895	5.7202541932	9.6717094776	36.3021804047	36.0479092033	216.1034873834	87.6265772793	8.124986132	6.9426380855	31.4263758134	81.2605153568	23.2733715503	60.7749507934	9.8963116936	172.4099695329	32.2192741783	84.095205534	7.5762270048	0.9147511934	27.2451921982	21.4795353839	38.1587109164	120.7745619041	66.1674851082	109.8221603301	17.1261528217
