Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
K00001	133.7639335945	107.481893046	700.8298324348	120.9651671062	23.5106357862	129.7219852952	140.2701857354	567.5115078392	157.191345845	674.9222950545	86.2917772496	189.3457849313	16.4568157377	47.9391923312	189.575497207	129.4069456452	0	62.4827456962	205.7586897301	205.6751369338	190.4174476336	319.4873622082	97.2688984422	118.1704187229	162.3489016318	534.0619803495	258.0545233068	127.180347908	586.338289596	144.024128336	150.1692634801	772.0270519298	485.7654080057	172.5827481539	57.28716692	93.2112604588	118.6170603664	115.6981807824	113.2457189795	33.9482917594	81.3424281541	38.0514955479	118.9145754099	420.6513879454	100.1736362583	109.7564538065	166.8930404464	270.6781949912	169.3809716029	104.5312037019	34.0724068992	62.4295484491	40.4375161933	181.2410832093	30.3247655979	60.5415879602	274.1019540125	175.9816661192	752.5703957736	395.2470038019	86.043243949	75.8510757395	245.0037923903	516.4079278693	148.1451127606	325.2437947744	101.8263266532	906.5088803786	234.1643181535	494.0931253742	66.1964539408	71.2304500302	156.2725322623	104.04880308	367.971603818	563.6026962046	395.744647494	512.6833023428	71.8887902783
K00003	111.5684466511	163.7377928287	195.4948124596	24.9730120176	0	104.6183938871	107.115485499	703.7310063656	204.5957146262	31.9307219797	96.1145761723	78.7764347204	40.315900943	66.7209817037	165.8931408974	189.849144945	0	182.4964567239	45.6649386588	408.4699781889	248.2597131361	65.7585866295	219.9692654481	177.1605659668	488.7586548338	159.7343332654	0	293.0400541737	134.4805215247	337.394267421	82.5825355857	98.1353013098	108.9318627223	407.3446461021	266.3190762008	126.7014590532	340.9428415451	1187.9125302395	256.1695301812	0	41.8000417079	101.2911124137	169.2573611008	30.2036091007	84.4282909709	45.0141622666	29.673740935	37.868057381	156.7457159428	260.579072283	38.2449236008	88.9302163829	112.4126429687	204.3053614025	24.1487769721	81.5666831339	229.912650355	60.100727756	191.9932834648	59.5852725338	0	0	200.363438491	258.0362382589	115.8396590812	52.0526815899	105.6986333819	50.2255624267	142.3293375185	128.3052218588	192.0174445106	187.8533227121	207.0303119484	168.1903390393	305.8394822785	144.8132239287	137.2274608876	0	54.5789787475
K00012	460.6251025075	264.1531914941	891.8489043835	355.3774567444	335.7852563167	177.9733578364	435.8160654685	589.6785895422	568.5661507709	1028.9638171036	182.1684255985	207.1243207485	253.8736988948	109.9005764222	523.509619799	640.7958500895	46.1919937744	535.2955788774	433.8320938819	1064.5876630194	1110.2201618482	1580.2127388958	242.5634822108	664.8960502614	892.3569978797	600.3917496901	1281.95552333	479.9092877977	1706.4676843632	308.1283777832	2874.6982212616	1336.565065814	807.9516908711	492.3843357508	213.794094011	343.6776578676	229.8397144276	405.1677990812	393.5851565026	174.8205099248	312.1161672151	87.9137909006	282.8793039066	789.1691433495	147.2649874701	180.1550763506	439.2758384376	1123.3913377143	309.346842264	346.1738471022	88.0626618536	131.5360632548	117.044682812	739.3366167982	192.0976380696	216.0667854863	719.2523172482	484.0787838249	1539.5702540679	795.8995358636	259.2799753847	219.3970462426	397.0121412684	466.9336105633	583.794639178	1073.8800275839	522.5320186682	939.2755615786	244.4002579978	1114.129851545	816.281892305	290.6361811862	542.2951422011	648.3575507842	935.0782775927	1527.9008265951	611.445905762	831.4403612535	469.6284194446
K00013	267.680480459	257.6194947646	795.1088863377	165.3861590632	62.2987925257	242.7295450668	199.2142543053	889.518378637	346.9533271077	600.7699728866	133.2243565216	157.7166027918	90.8306599713	99.5939461671	395.6114347348	320.4097113475	18.6135058322	297.3163794066	289.4996072621	608.800693836	569.8202840616	283.7915320583	311.4668831934	303.7857843814	740.4207617054	544.6105915264	558.0141821426	359.044339198	753.7548678597	489.6384915498	627.2281570676	852.8504308502	507.0350300985	651.7128250737	287.5460923731	191.4910327914	343.020741346	1059.5766021337	397.8276056786	72.8736564223	179.9356346522	75.2160769775	262.0750520931	372.1022538229	137.3443028844	107.9260245535	216.1587019096	539.7026293591	306.7609943276	345.9830898424	64.4507093506	145.5052193921	173.649954427	363.5046155182	85.6159055333	164.7305343861	319.8421860381	309.9413134234	872.1928208049	393.6823404559	112.3449184274	74.6409437988	367.473882009	569.0181756645	218.3992034042	390.1892923987	199.9969316234	933.1041998996	229.7794912738	540.1197544433	463.25707615	209.7040338815	331.3239708762	355.7030274999	435.2389350495	665.3332348483	459.4456413349	486.9235100238	199.6935083305
K00014	228.0137520052	246.0382881299	635.6007314966	105.5725332743	57.2621190079	183.970980291	170.5285030887	1225.6695756484	554.964597432	490.0605511041	77.4069778904	141.3577981534	87.297151601	75.7724398836	357.5288528669	288.9112446894	50.3505834723	240.6745063951	301.1248530622	555.8388771523	889.1500210588	397.515452258	456.3591934061	618.9723434537	552.1708906334	517.8705513146	681.8007359133	596.8769824342	801.4068355976	740.7655269757	1044.339635934	637.4703734282	576.7101317114	880.0613320768	518.8549065835	155.5319196714	375.492214198	2379.6803608857	179.4156596084	56.3694862267	114.7734326023	223.124910174	358.2202777096	497.352261893	164.6798332119	134.2778286713	243.3322614936	1582.5328158547	415.2062104304	486.4907342585	43.0069933487	284.1537470432	259.0960336002	457.4799537814	54.6074354256	153.2897545849	351.4346651354	331.1653965977	1088.3311171201	560.1644085677	85.7051590775	51.3951984609	284.3215389594	471.2485166235	112.1934600746	300.2514295052	158.0221895152	941.5504778041	176.8794229322	427.9368938445	256.6097776049	208.0068527674	307.3300879101	278.6960552257	441.7336128084	824.8065895384	526.9157054437	506.7323585388	175.8088611066
K00016	197.8286349142	142.7463577082	46.3529878514	0	0	84.8060366536	132.4675674109	397.8709702116	231.5826488553	0	118.6284224804	52.9674682574	157.9301573318	45.1618686901	150.993166461	259.342157572	0	144.4249136516	74.3250831064	147.1831618295	103.957599489	58.7767610107	195.4608682871	211.8199275441	289.3020182597	133.8898947762	93.7409117641	271.0012160705	96.5176435019	274.0089798382	53.2177355294	63.9438992525	68.8406675157	444.5395921476	270.1267742393	141.0679462478	264.2080999532	1280.8816938428	253.165466452	0	50.6952321582	395.5126207311	184.939922654	0	82.5365620886	24.1782314706	0	372.9374840667	135.7625394887	200.7045502642	0	104.3064340856	85.0387637938	181.2615947982	28.507005346	83.9356899523	64.1121546679	75.7962088109	507.8695996655	70.3663643457	28.5435255454	42.6071605048	177.8428894111	159.3748187197	74.4749261259	69.4731195841	65.2730213835	32.9300026518	148.2662087751	213.9177325029	199.5595928072	232.65379601	251.7010419646	183.7694094007	277.0780988087	117.4995347224	158.3463973071	32.4047753295	54.9184539805
K00018	47.9529448884	42.5942222356	338.7921041976	0	0	38.3986607997	26.5892042135	196.0535730456	69.1738639259	348.3277147974	17.043093014	66.0160657457	0	0	55.3862352783	41.4568173029	0	0	49.1590332081	93.7982996879	102.8248888555	72.489163286	0	44.7321492513	71.4765955211	247.2546389972	312.0173639297	62.8375390066	348.4002170233	35.2616026494	168.337204023	258.0101208712	110.8186324689	66.1020752218	43.6553945899	40.3775760621	22.338545851	0	124.7144937662	19.1984015577	61.7771882682	0	0	226.8604174868	40.4906251204	35.1547889679	35.2560754996	147.1691780259	73.5030651056	32.9260788456	19.1788523065	37.3098138253	19.179479661	0	0	0	52.1921301501	83.068594459	479.2783408071	218.3870574493	0	0	87.3895868495	266.1876613185	37.3518015543	50.1103099983	34.0846073441	524.0821029969	62.8421274387	167.2540347932	48.3483193175	0	55.7567780337	38.5510569277	120.4124893704	320.8170693987	160.8113705146	307.8201470736	0
K00024	323.6347923256	228.1213894187	1628.0907815878	286.10227792	74.8649001135	247.864947601	155.2179542188	1122.0625494299	465.3882053364	1586.7254253227	109.0304090545	295.9509652545	65.0217550865	106.9183180248	459.3082041099	197.3834635299	46.0446670767	139.68669975	729.6409701763	478.1472986504	464.8835303298	730.072028023	137.8834416377	275.3188109093	309.2990960217	1005.3431801593	1292.4950335062	377.9913613127	1622.7636444075	297.2679219058	1987.0499564494	1745.0351802329	1141.2414739126	575.9260594148	108.1759632755	148.5429973692	111.1698700928	232.4762591551	307.1680693507	76.7687067848	246.9124202867	238.9408534594	40.4437902633	996.6837463865	198.6630648952	256.0574160976	522.6807370638	1690.7910344203	470.5346074229	148.7866396684	55.1172995436	149.342640663	44.940870892	470.4915292377	202.5287880601	132.0610559485	524.6022403038	568.4040667729	1702.0141852043	1047.467960951	194.5452646779	195.0531802749	301.9388292611	831.3740820543	285.2291227784	731.3316758093	87.275513769	1923.1391886814	435.2614386871	961.3582685674	94.1868840204	50.3693594044	377.1543395874	316.7232766789	558.4080008944	1248.3019602564	1093.1840523759	1292.5339478816	447.7715566407
K00027	218.696803376	183.3252895574	213.4331667996	71.6891617502	56.6790167906	128.8604038732	172.9340478618	574.7522660003	289.9644965702	89.2995101312	88.8718549507	56.5648737108	102.9467147452	115.8691428802	236.3321959445	317.511423579	32.1185403676	312.3138747996	80.1024870625	615.3592488006	586.0715192729	166.5662004052	257.0810862046	295.4653500062	865.8625477392	238.0154317088	143.3772533336	346.7471307046	215.6124457153	402.6055853715	116.23672532	182.7905037375	170.1947901607	661.9487353752	295.7961690681	229.0078181867	451.4021141964	1234.3826640377	494.5382665225	63.0158119839	103.5898066457	213.3973068319	312.2866725439	58.8135558928	87.8644511415	59.4599817444	68.8742751587	783.9678704642	187.0414372029	312.6343359616	61.076358177	127.3802687707	164.5362799311	293.9737158492	38.6382180938	132.8112639657	136.326793184	133.2362142866	330.4374358744	104.2878656441	68.1933696955	69.4475462169	311.4457180071	225.0938384233	212.7262666136	129.4354051906	268.2024942454	150.2650199128	136.0737593394	192.1236790315	475.3796048579	313.8680242359	304.4200547441	325.7109182314	353.2806121614	200.1206875594	211.8609701706	76.3368954494	115.5202698508
K00029	135.9507985641	70.3962590587	326.2274858144	160.0620082843	36.8252362527	45.1454711968	47.3553553541	203.0987741424	163.145152576	398.9572179113	61.7364700373	40.8809609046	61.142607841	28.06766084	178.8843300933	109.3664379944	27.1632039118	64.5970102065	326.5537341407	145.4008752421	216.9577091865	367.7684529715	43.7466013889	193.2740501473	146.0353308291	280.9912525307	458.865917944	135.4758626293	527.0276581955	97.4679049755	723.1784298676	784.6836482368	625.1448320002	217.3386260489	29.9446480463	65.1685887336	30.9048092845	140.2865361843	112.3540418965	38.7990962592	71.6048659897	74.7676582977	34.63218776	245.0614070297	48.5102098721	73.5978833154	282.2820210521	690.2584931556	100.0012640653	80.8971503783	0	32.6884982775	0	300.672788325	68.7498040299	40.3607076732	216.6360603208	153.1296573875	416.6626452508	227.7296785321	110.8710393477	70.9654703005	102.0246427568	268.5173392831	143.9740046096	408.0490660042	61.2282913901	450.4257921054	104.2358716758	397.3537355454	65.3947470513	0	145.0637401319	180.7064833539	153.0645278061	431.1079743384	276.9577652267	250.7119514578	168.8422401352
