Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation	1.13734	0.834978	0	0	0	0.242703	0.256148	0	0	0	0.484572	0	0	1.31406	0	0	12.7304	1.0564	0	0	0	0	0	0	0.867154	0.668265	3.86949	0	0	0	0	0	0	1.33205	0	1.30782	0	0	0	0	0	55.5073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35064	0	0.740388	0	0	0	0	0	0	0.517695	0	0	0	0	1.14665	0	0	0	0
X7ALPHADEHYDROX.PWY..cholate.degradation..bacteria..anaerobic.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34228	0	0	0	0	0	0	0	0	0	0	0.212283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN.PWY..aerobactin.biosynthesis	0.0785068	2.60991	0	0	0	0	0	0	0	0	0	0	0.0831241	0.236785	0.660672	0.0853911	0	0	0	0	0	0	0	0	0	0	6.85366	0	0	0.17504	0	0	0	0	0.984117	2.0676	0	35.4242	3.18928	0	0	510.857	0.319083	0	0.32857	0.436395	1.06012	48.4574	0.185173	0.266334	0	0	0	0.181906	0	0.402561	0.156761	1.71124	0	16.8824	0.266253	4.42286	0	0	0	0	0	0.227297	0	0	0	0	0	0	0	0	0	0	0	0
ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82492	0	0	0	0	0	0	4.17497	8.29983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69561	0	0	0	0	0	0	3.60082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114517	0	0	0	0	0	0	0	0	0	0	0.0643785	0	0	0	0	0	0	0	0	0	0	0	0.185686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT.PWY..homolactic.fermentation	71.8224	48.0645	45.8269	9.82933	26.2597	60.3979	46.6207	74.0431	25.7694	69.0944	34.8198	68.972	16.2439	34.0579	52.1924	21.5277	15.9595	55.0264	77.96	110.814	178.938	61.7672	51.751	43.1383	67.0001	55.5817	95.4059	31.8712	82.3061	18.5106	100.689	35.3459	41.2082	53.5628	114.503	37.7602	36.6003	130.076	95.8213	26.0448	71.3599	127.151	32.2099	4.08125	53.4713	6.73088	41.7462	118.154	102.973	58.7426	21.4321	30.4467	70.0293	33.3767	18.5932	28.9315	46.5111	42.058	170.629	111.26	19.67	20.9392	27.9175	50.5367	36.0425	39.5458	60.8637	69.9773	24.1009	28.1906	54.7128	25.784	9.11677	26.9614	20.8985	71.9922	176.689	32.8861	76.1819	48.302
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	109.303	73.6632	73.8791	15.7311	31.3588	123.459	100.143	141.848	93.2569	168.906	69.0919	159.312	31.5983	48.3457	93.0576	86.7007	27.4619	72.2759	98.8599	153.731	248.046	85.7875	81.5502	88.8179	115.996	82.7603	157.28	99.2726	190.492	93.1516	141.658	113.707	120.48	71.7639	210.941	66.7455	86.5483	144.335	120.943	86.8036	144.072	140.266	110.377	131.443	115.059	118.089	106.07	152.093	118.965	59.935	68.3244	150.956	87.0795	63.6041	36.8714	75.0053	152.699	70.8358	234.497	133.891	42.7017	28.2921	158.209	126.115	111.343	106.321	132.979	193.086	104.319	204.979	122.41	223.687	30.5159	84.8664	60.0813	155.98	252.191	94.6985	110.884	91.1055
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	16.6016	16.6542	6.55858	6.36425	30.6898	12.8171	7.87026	5.43761	16.5202	0.731111	9.60077	0	4.53753	18.0385	12.5388	4.36934	15.0286	31.5878	31.6919	12.1132	0.535144	1.83809	19.0186	22.924	14.0093	10.5074	4.28598	7.1277	1.16008	5.18338	1.89069	27.0392	17.8725	9.93453	8.82516	25.886	35.7283	77.7603	22.4758	9.10946	0	61.9377	3.75464	0	17.9727	11.3063	13.9405	77.421	44.1834	7.00711	5.16358	24.6359	0	11.4871	3.5663	11.3733	19.2799	15.7455	1.47142	25.8177	7.58785	9.79941	22.432	16.2804	24.7616	28.1487	6.1788	3.8413	6.47707	3.28421	22.4702	3.3299	12.602	11.1166	13.5547	20.1222	2.11485	17.2384	25.2989	15.5579
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	2.67725	1.53468	2.34821	0	0	0.287152	0.264592	0	0	0	0.866809	0	0	5.18383	0.584291	0	12.5075	8.29921	6.57103	0.318808	0.105988	0	0	0	0.798545	1.21543	4.24569	0	0	0.180981	0	0	0	0.826816	0.70763	1.6513	1.05846	0.434061	0.319378	0	0	42.6643	0	0	0	0	0	37.4048	19.8297	0.633202	0	0	0	0	0	0.422945	0	0	0	6.66643	0	0	0	0.720662	0	0	0	0	0	0	2.47636	0	0	0	0	1.99394	0	0	9.15967	0
ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis	23.5353	19.9933	180.329	0.436229	0	34.3185	38.0238	119.238	42.3466	162.972	9.32413	35.5281	4.97618	6.22315	40.0323	21.422	1.246	6.76873	108.958	47.2534	42.3147	49.0833	6.22071	10.0408	25.2493	82.8615	188.003	33.3613	113.172	9.0017	386.296	75.3439	51.6541	64.6133	81.1076	9.94489	3.49867	2.14911	64.778	32.0458	60.6019	1.74122	2.50309	244.775	38.6476	39.4982	11.4283	19.1098	15.9414	7.37146	23.1098	46.3613	36.975	0.389749	3.37562	23.3848	57.3939	108.807	142.744	135.611	11.0965	2.82612	16.115	74.664	9.32946	11.9429	9.28601	87.1109	21.2372	18.5812	2.71104	5.58305	2.36102	12.8967	8.02543	57.854	181.577	112.617	87.5236	62.1512
ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion	7.62393	4.01353	3.85051	0	0	1.69595	1.57566	0	0.198751	0	6.922	0	0.682218	2.20718	2.10337	1.52932	0.737587	1.15725	10.5894	1.54026	0.562205	0	0	0.452992	0	2.90597	3.37202	0.536437	0	0	1.42506	0	0	2.30401	0	0.968476	0	0	1.17252	0	0.451432	0	0	0	2.43936	2.75148	2.33657	8.91249	1.60154	6.00933	0	0	0	0	1.26986	0.616676	1.61097	2.45108	26.8254	0	0	0	0	2.86051	1.41025	1.65839	0	0	0	0.64024	0	0	0	0	0.337948	0.355277	0	0.588813	2.11559	0
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	68.7157	39.0781	50.3283	8.55038	30.0572	46.6757	86.3498	67.4982	42.6439	2.49912	32.0566	65.6317	27.8178	56.2959	38.6031	55.2787	25.5301	87.6966	66.9807	33.7595	198.618	9.80592	81.3742	82.4096	66.8199	48.3379	41.432	23.7252	2.93236	81.414	88.2148	19.2297	13.95	60.8186	99.2075	67.7508	149.942	227.553	45.1257	33.0181	4.52245	117.71	76.1451	0	28.5183	34.1886	51.7257	144.55	118.256	62.5472	22.5932	90.4365	72.2704	72.8868	12.8966	34.3368	44.7934	38.9908	49.295	74.7416	34.7773	58.0017	70.1488	48.4913	40.8228	23.3144	70.6428	12.4669	36.7849	57.6138	79.5466	50.189	33.056	25.0037	12.0155	60.8919	81.8737	50.7791	71.6344	42.2995
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	38.2506	19.8556	23.0526	0.972604	13.306	23.0827	54.8247	29.1736	22.0134	0.758832	14.4758	32.677	6.40803	36.9906	17.3041	23.9937	25.1792	60.4258	58.922	14.2116	127.536	2.2397	45.2924	54.6447	32.7006	25.9873	22.723	9.57214	1.09975	29.9283	50.0477	7.75093	5.46402	26.8518	46.9634	50.8826	121.41	151.456	20.1654	15.2482	1.70741	116.463	26.0699	0	11.4291	15.9405	28.9546	139.444	112.125	34.6101	10.2497	54.9204	35.1335	39.6983	5.49345	15.0549	19.2535	17.5965	21.9335	62.6958	0	45.1353	34.5985	24.1323	17.6705	9.65561	20.4288	4.86312	8.8049	26.1816	32.7583	20.6254	12.4141	8.38845	4.43364	29.7322	56.8273	26.5955	68.3321	24.4226
ARO.PWY..chorismate.biosynthesis.I	86.7144	79.0107	174.722	173.825	93.3969	123.33	113.132	288.983	111.298	117.285	107.819	157.201	80.063	78.1546	132.869	111.056	28.3634	94.1546	151.219	127.412	245.396	66.3535	133.287	189.999	153.973	124.302	125.007	172.378	179.143	187.58	214.822	182.133	249.128	170.215	282.355	79.7855	161.357	288.169	134.067	60.2267	121.125	124.725	219.981	160.485	130.998	111.837	157.343	121.731	123.399	94.4057	57.2085	136.409	155.286	178.956	69.0958	125.652	205.79	152.736	155.442	123.739	141.71	105.346	152.815	103.387	120.88	151.855	205.468	205.407	128.37	159.542	141.859	192.933	98.9626	254.922	90.3729	136.627	198.634	137.796	117.774	107.711
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	52.1511	31.0323	94.1954	10.7031	14.2582	33.6202	40.0658	42.823	33.5625	107.283	23.1958	52.307	5.25907	26.7027	31.2348	30.1645	39.6837	38.9309	80.8762	63.2839	144.919	33.4171	37.6871	39.7962	33.1406	51.4259	90.9167	40.8375	91.971	36.2762	102.918	47.0147	33.3156	41.3086	48.0799	29.2468	41.0163	113.961	68.9812	36.7172	28.0005	142.89	21.156	58.2473	29.9758	37.9971	21.9764	113.089	82.5486	31.2898	19.5846	52.6463	59.3009	20.3946	12.6639	22.2334	56.3383	48.0425	100.011	81.1364	13.6823	14.4625	71.5198	64.2569	54.3801	34.3158	90.7072	68.876	23.7721	55.3969	82.6928	102.179	34.7572	16.39	42.3362	65.7039	136.363	43.3907	68.0453	49.4313
AST.PWY..L.arginine.degradation.II..AST.pathway.	2.37456	1.36713	2.83906	0	0.372755	0	0.385098	0	0	0	0.276058	0	0	4.17708	0.463152	0	10.8622	5.04519	7.6107	0	0	0	0	0	0.371689	1.23843	3.88764	0	0	0	0.340433	0	0	1.13968	0.601627	0.715648	0.434931	15.5764	1.35158	0	0.136064	34.8998	0.174447	0	0.279749	0	0	21.3636	15.4287	0.445338	0	0	0	0	0	0.182266	0.180781	0.825622	0	6.87694	0	1.26048	0	0.617345	0	0.391299	0	0	0	0	1.70442	0	0	0	0.347562	1.83389	0	0.125181	8.24002	0
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	13.1476	10.068	16.0883	4.92692	7.76367	6.07267	5.86683	1.0093	4.46352	1.8133	6.36027	0	0	13.5725	9.44527	5.42585	17.3224	15.9254	23.3153	6.85754	1.59395	26.9553	1.08169	8.57877	13.8815	10.7869	20.795	9.44977	17.6673	2.29348	10.9042	4.81802	0	19.306	5.47591	5.51374	3.5957	36.416	8.74696	3.3441	1.57362	65.5253	3.03066	0	8.16911	7.92854	9.28524	72.1745	47.9981	8.44253	0	0.915608	8.79553	2.03625	4.84237	5.95252	2.85412	8.80274	7.64017	31.4027	7.17614	4.56404	7.35177	10.1274	3.90652	15.9394	1.02685	3.38463	0	7.3359	7.25593	0.914274	0	2.08203	3.02815	9.93222	0.513116	5.22449	38.2267	3.46112
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis	135.537	78.6654	35.0181	98.4119	149.545	103.484	110.461	139.678	52.8921	131.976	90.6402	137.299	18.929	60.0272	92.8242	140.476	23.9306	85.2898	87.1643	184.286	281.79	55.7304	127.562	123.178	67.4684	93.7977	27.0541	144.549	157.404	116.733	80.103	150.81	130.278	110.635	155.882	78.5667	142.59	190.814	68.0479	94.1731	98.1758	113.234	152.974	114.455	91.601	81.1852	103.462	177.981	75.2392	101.001	52.0903	126.849	138.377	90.0065	57.4398	89.273	153.49	63.4077	73.2126	57.1459	52.2715	51.1596	180.122	133.633	174.149	119.376	265.98	188.029	85.219	194.033	200.992	277.121	124.034	108.609	111.598	147.622	106.292	77.0706	57.8233	72.629
CALVIN.PWY..Calvin.Benson.Bassham.cycle	90.6024	71.54	86.0334	37.0885	85.6	126.894	106.271	186.767	89.8298	174.941	67.0094	120.267	40.9141	54.1537	93.0833	67.8767	25.6486	108.904	63.8537	139.847	254.529	65.2108	134.715	69.1238	137.418	94.2424	140.004	140.362	184.283	135.057	105.372	144.578	119.497	145.475	248.34	62.5933	119.793	240.743	140.302	82.3461	152.747	28.4321	236.207	203.415	113.851	118.78	57.006	213.57	96.6919	81.4666	72.2366	158.232	126.308	72.3544	27.7506	92.6909	114.727	105.364	96.2873	139.491	36.5421	30.0261	142.751	132.409	114.323	103.451	187.04	162.727	96.1461	154.158	162.522	209.166	46.1834	108.56	90.6743	150.875	180.936	96.6323	104.832	91.5293
CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate	0.422017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442919	0	0	0	0.805366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM.PWY..pyruvate.fermentation.to.butanoate	0	1.32462	2.50771	0	1.50182	1.17439	3.1338	0	0.736579	1.34255	1.77167	0	0	1.9715	2.45444	1.59832	0	1.39815	0	3.67943	1.41907	0	0	2.12779	0	1.94765	0	6.57234	8.02793	0	3.93653	3.15785	0	1.06332	0	0.638382	0	0	0	0	1.22312	0	0	0	4.8274	5.49993	0	0	2.46208	9.88059	0	0	0	0	0	2.51074	4.45103	2.53773	1.56808	0	0	0	3.01323	2.05557	2.34415	1.91466	0	0	0	1.1875	0	0	0	3.2542	0.956357	0	0	2.66694	0	0
CITRULBIO.PWY..L.citrulline.biosynthesis	16.9132	9.9312	22.8421	0	7.14716	2.69198	7.73578	19.6064	8.38723	15.1134	2.84355	3.92452	3.12956	5.27192	3.49693	5.93262	1.4126	7.55154	66.4397	44.2412	60.1211	3.90261	8.08098	6.71625	19.5482	15.6402	23.487	14.9907	19.1122	17.5719	8.16745	22.6935	4.51003	40.458	6.90144	5.38541	5.65842	4.03453	9.19788	2.95331	12.2405	9.916	5.15236	1.08904	24.5884	6.43824	5.39232	0.458672	5.14232	10.6522	16.6132	6.25902	5.8702	3.60614	2.14997	22.3468	19.8164	21.0238	73.5172	46.1048	2.38602	0.978229	7.19523	19.5814	4.31797	6.76195	5.08302	2.78379	11.9906	9.0972	7.64521	13.1143	2.0895	6.5857	1.71804	6.10776	26.5771	14.6949	71.4242	3.6099
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	88.2072	71.0477	399.705	126.492	96.3863	128.792	91.2651	314.576	141.767	262.68	89.1299	187.701	74.3408	56.5494	115.26	127.303	20.5418	62.5913	196.981	139.016	208.437	63.7096	117.39	143.042	132.93	194.647	290.787	171.742	275.357	167.898	652.868	309.369	266.995	158.439	261.946	66.6965	125.14	216.333	135.404	61.497	106.404	149.456	171.987	471	166.854	147.304	137.228	97.0312	127.198	89.5036	63.3388	138.106	154.934	134.806	51.3698	106.647	220.516	214.003	359.152	263.087	99.398	73.8132	133.47	150.786	145.957	166.34	186.333	320.735	147.377	243.011	123.714	231.255	82.3897	222.551	80.9339	170.302	293.667	179.714	257.8	102.023
COA.PWY..coenzyme.A.biosynthesis.I	71.0138	28.2236	20.9595	4.37303	39.7284	46.182	46.1659	42.6665	46.8522	41.5853	41.8603	55.7242	19.9963	22.7462	23.7267	90.8577	15.1847	26.9619	47.9634	73.7535	169.971	31.4981	39.7042	62.9271	31.4416	38.8606	30.8731	57.8954	68.724	39.1031	49.0053	21.1949	20.1324	43.937	133.642	31.037	28.3097	27.5938	72.4067	11.3846	12.6742	88.2699	101.519	39.1944	24.2605	40.4387	40.3154	59.8989	52.1055	41.7234	14.3479	66.9329	21.3396	20.8275	17.5108	24.4355	38.4628	28.5575	94.4975	50.5443	20.5441	11.4427	50.2299	34.7139	66.1446	47.1338	100.455	35.456	20.6532	75.265	88.0115	152.398	36.874	19.2024	50.1778	55.688	134.708	28.9617	40.2736	21.489
