Feature,LogMaxMean,Class,LDA_score,p.value
Akkermansia,3.78790403117,point_1,3.64616427677,1.13133724297e-06
Bacteroidales_noname,2.96450792753,point_1,3.54828415528,0.000283879086797
Bifidobacterium,3.96379012465,point_1,3.81342476106,5.54648347428e-08
Collinsella,3.39582344764,point_1,3.87247610779,9.12760947171e-07
Coprococcus,4.61132360337,point_1,4.01938644539,3.94233361292e-05
Dialister,4.15581165968,point_1,3.69307788707,0.00236129709663
Dorea,4.16124285386,point_1,3.59722542917,0.00285134041119
Eubacterium,5.19139650952,point_1,4.52737291178,0.000571362410027
Roseburia,4.52536330938,point_1,3.75335976663,0.00628001159667
Ruminococcus,4.704031236,point_1,4.06216077001,0.0039951276308
Sutterella,3.16108239296,point_1,3.49746377938,0.00599781124531
