Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
GO:0000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.884	0	0	0	0	0	33.922	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000015	849.345	2116.978	902.971	5443.026	666.657	648.641	407.94	889.422	224.773	938.572	499.26	409.186	496.484	382.864	829.397	791.062	3039.356	791.062	1113.294	1313.9	3835.629	3039.356	1105.81	2145.145	2346.095	2793.11	1533.806	2679.794	4343.503	1961.031	1207.051	2325.237	2367.411	2363.266	1239.117	2122.348	2505.551	1780.283	3485.071	301.427	1017.54	1440.671	723.358	752.35	759.004	813.946	852.688	688.067	542.756	1085.108	430.844	203.538	369.334	564.564	859.525	1889.369	518.694	2460.266	938.572	2921.708	872.992	281.622	1592.983	2323.491	774.762	1716.8	2965.237	3628.105	1141.671	888.534	1436.544	1239.828	104.774	2204.108	767.198	6041.333	1318.112	549.915	443.862	1625.905
GO:0000023	1.471	0	0	4.581	1.802	4.999	4.697	0	0	0.979	0	0	0.983	11.799	0.491	0	0	0	0.983	0	1.472	0	1.314	1.963	5.889	29.931	0	0	0	0	0	0	0	0	0.491	49.574	5.396	13.545	0	0	0	0	0	1.872	1.824	36.807	1.468	0	0.491	0.491	2.671	0	0	0	0	1.474	0.491	6.247	0.979	0.983	3.438	38.017	0.983	0	0	1.472	0	9.964	0	1.961	0	0.983	9.821	0	0	0	0.49	0	3.432	0.491
GO:0000027	725.057	3662.95	866.355	5668.617	727.009	923.896	641.62	1680.731	781.748	2766.541	470.215	800.942	704.744	836.753	2354.053	993.633	2549.56	993.633	496.815	2254.269	2131.504	2549.56	1725.8	1724.887	3069.123	3069.187	2454.71	4069.541	5901.221	2256.935	3419.795	3035.906	2544.893	2792.058	1047.561	4872.294	2319.907	1738.431	4054.293	367.106	994.112	1037.865	730.754	1028.976	1712.602	1406.964	1452.044	649.325	556.828	2022.05	839.345	578.038	624.091	1546.626	1221.306	2141.483	826.579	4103.912	2766.541	3698.498	1573.874	457.893	1229.7	1993.962	707.817	1134.668	2473.633	2976.031	1337.465	480.789	1639.921	2094.922	235.054	2453.03	1386.125	3972.47	1232.365	886.309	437.957	938.046
GO:0000030	26.507	431.696	13.375	422.704	3.566	13.02	35.508	12.929	21.163	17.799	12.904	16.945	14.454	167.718	2.946	2.482	26.909	2.482	55.405	78.319	40.376	26.909	27.579	146.868	70.255	175.26	104.703	1266.686	1384.102	34.778	3.668	62.341	29.219	129.797	5.878	611.466	304.407	356.299	25.744	12.034	153.691	6.214	34.131	235.449	132.435	271.501	23.307	12.747	8.559	14.622	12.415	18.369	123.471	35.11	290.641	68.459	134.236	488.196	17.799	2434.293	43.622	148.904	19.905	139.541	8.143	51.793	4.346	775.704	9.298	23.679	20.845	22.987	94.452	45.399	112.672	172.122	24.395	8.643	56.085	22.915
GO:0000034	153.902	355.149	86.483	1360.171	140.742	143.32	170.624	191.289	94.368	62.262	74.229	83.383	124.69	412.807	203.528	99.221	660.558	99.221	160.633	481.357	1620.919	660.558	223.12	194.719	509.736	1073.791	394.493	1191.746	2620.836	236.867	110.457	825.49	538.024	569.836	411.161	2361.954	1400.837	1187.945	1278.847	127.809	469.339	189.529	194.108	186.219	108.707	981.45	540.278	175.338	267.452	130.218	258.434	54.474	29.262	120.705	221.521	186.082	68.471	1022.8	62.262	880.307	235.086	151.255	159.626	586.708	117.76	210.874	615.555	756.026	123.441	152.254	93.477	513.145	118.2	613.7	191.784	3708.762	139.541	123.49	145.93	204.208
GO:0000036	1240.434	9049.12	1756.775	8438.244	1280.77	1532.481	944.601	2889.132	1303.926	4008.85	1108.934	1300.173	1747.452	803.962	2305.411	1260.099	3877.702	1260.099	1241.029	4736.248	3827.056	3877.702	4040.04	2853.971	5092.15	4253.126	3382.526	6551.709	10503.993	4471.666	5524.981	3840.914	4969.183	4527.869	1577.973	9610.988	4148.732	2559.414	7223.539	504.969	1409.527	2331.989	1414.862	1810.499	2619.037	1446.353	2733.918	1280.326	1080.647	4084.133	1335.231	795.868	1283.202	5084.698	2155.733	3685.484	1641.297	7408.317	4008.85	6392.83	2721.805	347.349	2682.257	2984.679	1459.643	2439.045	3653.679	5349.649	2530.554	930.796	3361.53	4328.553	92.55	5577.119	2473.895	5675.861	1955.067	1818.562	500.711	2002.191
GO:0000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.863	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.447	0	0	0	0	0	10.108	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000049	15314.801	56093.692	15963.857	93363.307	15168.238	14319.173	10221.993	25051.567	11319.479	40407.964	10519.897	11509.497	13821.004	9212.848	21753.53	16548.659	42926.263	16548.659	13601.318	36618.37	45019.253	42926.263	31927.78	35545.407	42570.532	40243.815	33030.16	56912.994	89043.879	36821.372	50201.249	46992.724	44024.344	47259.341	15998.842	69929.034	37306.087	23125.938	64059.655	5537.723	15536.595	23762.341	15017.548	14505.194	23917.928	19783.196	22126.347	12259.686	8292.396	31519.853	12461.894	7512.576	8678.102	24421.326	17557.801	40326.482	12343.811	63690.267	40407.964	59128.172	22424.183	3965.144	26990.409	36602.894	14952.937	20926.959	43698.475	51159.134	28660.846	10283.403	32111.288	37463.573	1935.189	51905.229	22958.435	63918.267	20798.683	15221.951	6101.683	19798.496
GO:0000054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.646	0	0	0	0	0	24.051	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000062	3.65	1.127	4.847	29.332	4.219	16.781	49.086	1.267	0	32.839	0	4.407	12.234	317.055	0.635	7.456	0	7.456	4.733	14.756	42.43	0	0	32.079	93.155	308.803	1.121	0	2.762	0.633	0	53.173	3.607	0.634	1.903	758.994	75.411	151.14	59.315	0	0	0.634	8.171	3.881	10.791	544.762	14.398	1.255	4.447	2.127	28.24	4.418	2.939	8.944	2.611	23.193	0	74.049	32.839	6.627	63.268	171.829	1.49	0	1.122	9.698	0	11.472	7.142	15.545	3.595	19.292	172.92	7.323	4.456	2.383	17.967	0	60.506	3.395
GO:0000079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.661	0	0	0	0	0	26.663	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.864	0	0	0	0	0	44.239	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000105	6349.941	17727.336	8404.422	52199.248	5350.334	6242.161	4423.535	11056.509	4891.116	26511.596	4604.919	4283.504	3925.221	4898.639	8526.103	7248.017	26829.13	7248.017	6928.053	17640.058	19563.108	26829.13	14695.132	16661.821	25974.769	21615.402	15110.532	22193.931	44484.121	18896.712	30735.733	21419.416	22688.269	20941.956	8462.756	39136.085	18646.476	13125.739	24316.152	2246.736	7688.479	12906.467	6942.966	6506.498	12632.787	9267.86	13008.081	6295.117	3847.31	14454.551	7052.577	2676.348	2835.733	9924.21	7845.723	18350.038	5818.68	32461.668	26511.596	21574.333	12753.279	1381.378	12716.954	20814.394	6324.614	11210.62	22606.806	24556.418	13529.881	5553.995	17135.813	16127.342	709.384	25508.897	11962.166	30293.506	12506.732	7687.806	3364.729	10869.513
GO:0000107	1346.896	2799.31	1392.17	10186.821	988.305	1123.178	806.777	2128.207	803.508	5891.521	870.33	677.264	687.647	822.477	1030.796	1278.37	4961.553	1278.37	1140.164	3603.692	3335.116	4961.553	2815.452	2976.672	4455.427	3928.72	2682.687	3986.355	8112.75	3323.088	6243.713	3973.518	4203.947	3876.466	1644.307	7332.325	3458.88	2280.168	3502.86	419.897	1507.82	2533.979	1282.849	1175.474	2915.538	1809.719	2344.002	1250.152	717.52	2574.605	1332.6	555.518	626.255	1825.834	1420.679	3385.456	1136.321	5779.051	5891.521	4333.973	2356.178	264.959	2394.071	4140.773	1238.325	2217.779	4164.112	4942.786	2250.655	1165.351	2943.217	2927.522	152.658	4753.703	2574.467	5130.021	2000.767	1787.673	527.202	2080.077
GO:0000109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.631	0	0	0	0	0	18.625	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.301	0	0	0	0	0	16.871	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.908	0	0	0	0	0	268.812	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.169	0	0	0	0	0	15.794	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.953	0	0	0	0	0	7.427	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.268	0	0	0	0	0	16.304	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000150	5390.379	40719.55	18952.878	62518.586	15770.797	15797.569	6041.962	19373.894	15386.03	4703.78	4976.686	8115.295	11916.044	3737.65	16036.632	14637.651	28763.544	14637.651	18216.24	26725.352	49284.48	28763.544	30883.39	24283.174	26376.556	28342.509	24949.94	52660.221	78794.493	19483.201	28318.909	42154.456	29746.774	43401.45	25149.734	49719.518	39612.16	34713.829	64811.039	10511.897	19766.488	16493.546	13680.701	13772.152	7994.517	13335.07	13117.299	11102.301	17038.171	14762.161	17018.796	3669.883	2623.16	19053.034	16004.722	26310.309	7478.331	57305.428	4703.78	49259.732	17572.018	1044.524	13123.586	40558.071	13317.074	17480.257	37064.828	30612.698	18729.867	9560.694	19354.248	34982.699	1308.893	25599.987	14926.332	103962.365	23264.9	10224.648	5163.162	30651.652
GO:0000155	22514.768	87974.184	31151.462	141256.244	22420.901	25034.751	13262.128	32056.04	20160.03	61069.052	21202.812	12058.561	11854.319	9718.49	31476.929	22537.44	118730.897	22537.44	25054.243	55918.645	94169.977	118730.897	60808.549	55779.693	83438.949	75385.05	49554.238	76537.273	127024.727	90378.502	72719.244	73990.059	92266.591	93240.883	28111.298	116074.719	79151.493	53563.379	93530.291	11331.11	32715.613	47217.799	22460.403	22767.027	34319.79	34072.789	38577.451	19443.599	15417.667	41519.134	26218.317	8525.877	7446.961	41862.247	27834.294	65753.049	16027.913	101289.007	61069.052	70099.387	30151.091	4177.128	47162.003	92196.47	25575.051	29855.406	78073.631	89542.664	50560.875	18277.891	60833.326	54621.924	2598.257	84156.793	36389.956	122796.983	42669.383	20823.039	14602.399	26877.036
GO:0000156	45.662	439.125	221.17	4758.295	123.609	354.11	395.426	812.586	257.875	134.701	53.38	149.85	77.326	1518.206	195.421	45.873	195.019	45.873	152.324	385.774	509.401	195.019	550.414	289.015	497.771	3437.504	402.328	415.53	1068.211	428.406	311.133	1293.327	288.718	432.444	331.392	6444.226	1583.165	1602.12	793.781	48.207	323.553	135.346	293.339	294.547	70.599	2799.321	1560.513	197.271	183.062	847.256	684.483	20.561	13.164	243.389	354.462	874.1	228.771	2582.787	134.701	251.339	990.232	884.312	140.876	562.82	68.491	244.658	42.348	583.506	520.63	102.562	1024.029	456.032	802	1630.472	160.96	558.562	229.893	76.763	446.258	270.527
