Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Gender	Haemophilus	GenderM	0.143981305679096	80	34	0.00280867165732056	0.0516093417032653
Gender	Dialister	GenderM	-0.135023775298844	80	29	0.00936573606156279	0.114730266754144
Gender	Acidaminococcus	GenderM	0.0485541573573423	80	6	0.0231133523091861	0.236481739785376
Gender	Paraprevotella	GenderM	0.149745629997942	80	38	0.024130789774018	0.236481739785376
Gender	Megamonas	GenderM	0.00555762736262638	80	5	0.0370708201844201	0.272470528355488
Gender	Parasutterella	GenderM	0.06854708529812	80	20	0.0465668506175531	0.294543578444339
Gender	Lachnospiraceae_noname	GenderM	-0.130477276978797	80	75	0.0480887475011166	0.294543578444339
Gender	Collinsella	GenderM	0.0762678805943841	80	47	0.0715240517562047	0.377654367476733
Gender	Dorea	GenderM	0.105800627633114	80	75	0.0735214755897537	0.377654367476733
Gender	Mitsuokella	GenderM	0.0302302461006433	80	7	0.0745032425634372	0.377654367476733
Gender	Barnesiella	GenderM	-0.121151007842455	80	50	0.0954081638417829	0.452419357572325
Gender	Streptococcus	GenderM	-0.104211631876183	80	76	0.116016806587687	0.47364731857549
Gender	Pediococcus	GenderM	-0.0154300223836978	80	2	0.14834102345315	0.512893344478695
Gender	Megasphaera	GenderM	0.0340518297398621	80	11	0.154140814936598	0.514970449901818
Gender	Escherichia	GenderM	-0.0781307565105896	80	72	0.17387033452987	0.54150359128521
Gender	Clostridiales_noname	GenderM	-0.023963124341215	80	21	0.17739994030765	0.54150359128521
Gender	Coprococcus	GenderM	0.0812074671911971	80	72	0.264036639657457	0.693096179100825
Gender	Enterococcus	GenderM	-0.0308174441770108	80	36	0.274415933932863	0.707704250668963
Gender	Flavonifractor	GenderM	-0.0257581757530271	80	30	0.315600001843591	0.747417363216854
Gender	Peptostreptococcaceae_noname	GenderM	-0.0472937615933924	80	54	0.320805415538907	0.747417363216854
Gender	Clostridium	GenderM	-0.067268858512906	80	68	0.325724935843324	0.747417363216854
Gender	Bacteroides	GenderM	-0.00681651153783313	80	80	0.514032890942798	1
Gender	Erysipelotrichaceae_noname	GenderM	0.0333338637386344	80	68	0.629934339609544	1
Gender	Alistipes	GenderM	-0.0270499982949414	80	71	0.639871185664038	1
Gender	Coprobacillus	GenderM	0.00554273873503058	80	29	0.715605809442879	1
Gender	Klebsiella	GenderM	0.0148509279588882	80	23	0.806854301154929	1
Gender	Veillonella	GenderM	0.00687267251886474	80	59	0.880260685488839	1
Gender	Lactobacillus	GenderM	0.00516078706504318	80	43	0.885764818550966	1
Gender	Roseburia	GenderM	0.00801041661595796	80	80	0.886983534526043	1
Gender	C2likevirus	GenderM	-0.00260676835273853	80	47	0.936127465516853	1
