Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Gender	Erysipelotrichaceae_bacterium_6_1_45	GenderM	-0.0357262623344645	80	12	0.00476124778480969	0.0817877797043793
Gender	Enterococcus_faecalis	GenderM	-0.0886414600076117	80	20	0.00613889584145726	0.0817877797043793
Gender	Eubacterium_biforme	GenderM	0.182721650519905	80	35	0.00715685513960009	0.088810066050492
Gender	Dialister_invisus	GenderM	-0.142060552508285	80	28	0.00751456558688335	0.0891946263138763
Gender	Alistipes_putredinis	GenderM	-0.176181274635458	80	58	0.0265906916063111	0.196196184014133
Gender	Haemophilus_parainfluenzae	GenderM	0.0574514595666543	80	34	0.0309397486805224	0.222277668152174
Gender	Megamonas_unclassified	GenderM	0.00555762736262638	80	5	0.0370708201844201	0.253008347758667
Gender	Collinsella_aerofaciens	GenderM	0.087704652731345	80	45	0.0446254116215373	0.288078356985009
Gender	Parasutterella_excrementihominis	GenderM	0.06854708529812	80	20	0.0465668506175531	0.288926141331636
Gender	Bacteroides_coprocola	GenderM	0.11657120629075	80	21	0.0485686093249505	0.292192862869486
Gender	Streptococcus_thermophilus	GenderM	-0.112858644143724	80	61	0.0549632473244884	0.308322196103781
Gender	Acidaminococcus_intestini	GenderM	0.0741607015613517	80	6	0.0561050129779934	0.308322196103781
Gender	Bacteroides_fragilis	GenderM	-0.0312983101241861	80	33	0.0609246059359969	0.319854181163984
Gender	Eubacterium_hallii	GenderM	0.134796147653847	80	67	0.0636491646445456	0.32785324430115
Gender	Mitsuokella_unclassified	GenderM	0.0302302461006433	80	7	0.0745032425634372	0.3610943359433
Gender	Bacteroides_eggerthii	GenderM	-0.0325119451372377	80	34	0.0914801382662844	0.403997284756983
Gender	Lachnospiraceae_bacterium_8_1_57FAA	GenderM	0.0690896684086978	80	27	0.0917502991023186	0.403997284756983
Gender	Barnesiella_intestinihominis	GenderM	-0.121151007842455	80	50	0.0954081638417829	0.413435376647726
Gender	Dialister_succinatiphilus	GenderM	0.00426620215774316	80	3	0.108678423039038	0.449533477116019
Gender	Prevotella_copri	GenderM	0.0415938367048341	80	70	0.120346689551896	0.475314317101116
Gender	Paraprevotella_clara	GenderM	0.0755173245898268	80	32	0.121875465923363	0.475314317101116
Gender	Escherichia_coli	GenderM	-0.0871969883822559	80	69	0.126831692321652	0.487676788786072
Gender	Clostridium_nexile	GenderM	-0.0418194369617899	80	10	0.149527475408456	0.551635145763628
Gender	Roseburia_inulinivorans	GenderM	0.0950303747800644	80	67	0.160957246095173	0.585453956568697
