Genus	Means	Sds	point_number
Bacteroides	14.52	16.92	1
Prevotella	14.43	22.37	1
Eubacterium	15.46	13.45	1
Butyrivibrio	2.81	8.86	1
Subdoligranulum	7.64	8.57	1
Ruminococcus	5.03	7	1
Coprococcus	4.06	7.9	1
Faecalibacterium	9.46	9.84	1
Escherichia	1.53	4.43	1
Parabacteroides	1.86	3.93	1
C2likevirus	0.74	3.65	1
Roseburia	3.34	4.45	1
Alistipes	2.6	3.31	1
Clostridium	1.23	2.49	1
Coprobacillus	0.39	1.85	1
Dialister	1.43	2.85	1
Methanobrevibacter	0.51	1.62	1
Blautia	2.73	1.89	1
Siphoviridae_noname	0.38	1.39	1
Streptococcus	0.99	1.47	1
Megamonas	0.27	1.25	1
Dorea	1.44	1.57	1
Mitsuokella	0.18	1.12	1
Akkermansia	0.61	1.36	1
Barnesiella	0.57	1.05	1
Bifidobacterium	0.92	1.16	1
Phascolarctobacterium	0.5	1.11	1
Lachnospiraceae_noname	0.59	0.86	1
Lactobacillus	0.33	0.74	1
Anaerostipes	0.17	0.52	1
Erysipelotrichaceae_noname	0.55	0.78	1
Clostridiales_noname	0.1	0.49	1
Catenibacterium	0.23	0.52	1
Paraprevotella	0.27	0.48	1
Odoribacter	0.38	0.44	1
Collinsella	0.25	0.47	1
Megasphaera	0.12	0.46	1
Sutterella	0.14	0.37	1
Klebsiella	0.1	0.37	1
Oscillibacter	0.25	0.4	1
Pediococcus	0.03	0.16	1
Acidaminococcus	0.03	0.16	1
Bacteroides	22.77	22.06	2
Prevotella	14.06	23.34	2
Escherichia	3.97	12.81	2
Eubacterium	10.01	16.08	2
Felixounalikevirus	1.5	9.51	2
Siphoviridae_noname	2.8	9.48	2
Klebsiella	1.27	6.53	2
Mitsuokella	0.85	5.33	2
Faecalibacterium	6.79	6.69	2
Blautia	5.18	6.09	2
C2likevirus	0.7	3.68	2
Coprococcus	1.72	4.34	2
Subdoligranulum	4.84	6.06	2
Roseburia	2.68	4.97	2
Phascolarctobacterium	1.1	4.04	2
Butyrivibrio	2.05	5.73	2
Ruminococcus	3.34	5.48	2
Parabacteroides	2.67	4.62	2
Dialister	0.62	2.87	2
Enterococcus	1.37	4.01	2
Alistipes	2.16	2.7	2
Streptococcus	1.08	2.22	2
Clostridium	0.75	1.74	2
Megasphaera	0.36	1.62	2
Acidaminococcus	0.12	0.73	2
Barnesiella	0.44	0.85	2
Megamonas	0.18	0.81	2
Dorea	0.82	0.99	2
Bifidobacterium	0.15	0.57	2
Lachnospiraceae_noname	0.63	0.86	2
Sutterella	0.08	0.51	2
Oscillibacter	0.42	0.59	2
Paraprevotella	0.29	0.62	2
Akkermansia	0.07	0.38	2
Erysipelotrichaceae_noname	0.37	0.63	2
Coprobacillus	0.17	0.41	2
Odoribacter	0.26	0.35	2
Pyramidobacter	0.04	0.25	2
Clostridiales_noname	0.05	0.23	2
Bacteroidales_noname	0.07	0.25	2
Veillonella	0.14	0.33	2
Methanobrevibacter	0.11	0.31	2
Haemophilus	0.07	0.22	2
Peptostreptococcaceae_noname	0.14	0.25	2
Parasutterella	0.06	0.18	2
