Species	Means	Sds	point_number
Prevotella_copri	14.06	22.16	1
Eubacterium_rectale	11.78	13.43	1
Bacteroides_eggerthii	1.78	8.37	1
Butyrivibrio_crossotus	2.81	8.86	1
Bacteroides_uniformis	3.92	8.17	1
Coprococcus_sp_ART55_1	2.5	7.89	1
Faecalibacterium_prausnitzii	9.46	9.84	1
Escherichia_coli	1.52	4.43	1
Eubacterium_siraeum	0.81	3.42	1
Bacteroides_plebeius	0.9	3.98	1
Ruminococcus_bromii	2.07	4.11	1
Ruminococcus_sp_5_1_39BFAA	1.61	3.45	1
Bacteroides_fragilis	0.6	2.78	1
Parabacteroides_unclassified	0.55	2.69	1
Ruminococcus_lactaris	1.13	2.55	1
Roseburia_intestinalis	1.21	2.87	1
Alistipes_putredinis	1.97	2.76	1
Clostridium_sp_L2_50	0.97	2.52	1
Roseburia_inulinivorans	1.31	2.07	1
Roseburia_hominis	0.67	1.82	1
Dialister_invisus	1.3	2.79	1
Coprobacillus_sp_D6	0.3	1.53	1
Bacteroides_dorei	0.84	1.57	1
Methanobrevibacter_smithii	0.4	1.35	1
Bacteroides_massiliensis	0.67	1.88	1
Coprococcus_eutactus	0.54	1.68	1
Parabacteroides_distasonis	0.35	1.14	1
Bacteroides_stercoris	0.55	1.48	1
Akkermansia_muciniphila	0.61	1.36	1
Megamonas_unclassified	0.22	1.05	1
Mitsuokella_unclassified	0.16	0.96	1
Bacteroides_cellulosilyticus	0.51	1.36	1
Parabacteroides_merdae	0.92	1.43	1
Ruminococcus_torques	2.12	1.43	1
Dialister_succinatiphilus	0.13	0.8	1
Barnesiella_intestinihominis	0.57	1.05	1
Dorea_longicatena	0.96	1.09	1
Phascolarctobacterium_succinatutens	0.5	1.11	1
Ruminococcus_obeum	0.52	0.74	1
Lactococcus_phage_jm2	0.11	0.67	1
Eubacterium_hallii	0.66	0.87	1
Lachnospiraceae_bacterium_1_1_57FAA	0.18	0.73	1
Anaerostipes_hadrus	0.17	0.52	1
Eubacterium_biforme	0.53	0.78	1
Streptococcus_thermophilus	0.23	0.53	1
Bacteroides_caccae	0.59	0.83	1
Bifidobacterium_adolescentis	0.55	0.79	1
Bacteroides_pectinophilus	0.1	0.49	1
Catenibacterium_mitsuokai	0.23	0.52	1
Lactobacillus_salivarius	0.16	0.59	1
Bacteroides_ovatus	0.58	0.74	1
Odoribacter_splanchnicus	0.37	0.46	1
Collinsella_aerofaciens	0.25	0.47	1
Megasphaera_unclassified	0.12	0.46	1
Sutterella_wadsworthensis	0.14	0.37	1
Alistipes_onderdonkii	0.17	0.39	1
Oscillibacter_unclassified	0.25	0.4	1
Alistipes_indistinctus	0.13	0.35	1
Coprobacillus_sp_29_1	0.08	0.34	1
Clostridium_nexile	0.06	0.26	1
Eubacterium_ramulus	0.24	0.36	1
Eubacterium_ventriosum	0.22	0.33	1
Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.05	0.25	1
Streptococcus_parasanguinis	0.16	0.3	1
Ruminococcus_callidus	0.22	0.33	1
Bacteroides_salyersiae	0.05	0.21	1
Lactobacillus_ruminis	0.08	0.27	1
C2likevirus_unclassified	0.1	0.23	1
Pediococcus_pentosaceus	0.03	0.16	1
Mitsuokella_multacida	0.03	0.16	1
Lachnospiraceae_bacterium_8_1_57FAA	0.12	0.24	1
Bacteroides_intestinalis	0.04	0.18	1
Lactococcus_phage_936_sensu_lato	0.04	0.19	1
Prevotella_copri	13.49	23.33	2
Escherichia_coli	3.95	12.81	2
Eubacterium_rectale	7.22	14.29	2
Salmonella_phage_FelixO1	1.5	9.51	2
Bacteroides_eggerthii	2.3	9.26	2
Lactococcus_phage_jm2	1.39	7.24	2
Klebsiella_oxytoca	1.03	6.47	2
Bacteroides_dorei	5.08	10.16	2
Eubacterium_siraeum	1.05	4.51	2
Salmonella_phage_Vi_II_E1	0.71	4.47	2
Mitsuokella_unclassified	0.7	4.41	2
Faecalibacterium_prausnitzii	6.79	6.69	2
Ruminococcus_torques	3.68	4.92	2
Coprococcus_sp_ART55_1	0.89	4.08	2
Bacteroides_stercoris	1.76	4.7	2
Phascolarctobacterium_succinatutens	1.1	4.04	2
Butyrivibrio_crossotus	2.05	5.73	2
Ruminococcus_bromii	2.16	4.42	2
Bacteroides_uniformis	2.75	4.66	2
Roseburia_intestinalis	1.05	3.28	2
Parabacteroides_merdae	1.25	3.47	2
